Time,Series_B
2026-03-09 22:14:02,51.333333333333336
2026-03-09 22:14:32,53
2026-03-09 22:15:02,39
2026-03-09 22:15:32,42
2026-03-09 22:16:02,55
2026-03-09 22:16:32,47
2026-03-09 22:17:02,29
2026-03-09 22:17:32,38
2026-03-09 22:18:02,38
2026-03-09 22:18:32,35
2026-03-09 22:19:02,43
2026-03-09 22:19:32,32
2026-03-09 22:20:02,26
2026-03-09 22:20:32,26
2026-03-09 22:21:02,48
2026-03-09 22:21:32,37
2026-03-09 22:22:02,37
2026-03-09 22:22:32,37
2026-03-09 22:23:02,22
2026-03-09 22:23:32,36
2026-03-09 22:24:02,41
2026-03-09 22:24:32,32
2026-03-09 22:25:02,35
2026-03-09 22:25:32,30
2026-03-09 22:26:02,30
2026-03-09 22:26:32,46
2026-03-09 22:27:02,46
2026-03-09 22:27:32,45
2026-03-09 22:28:02,43
2026-03-09 22:28:32,50
2026-03-09 22:29:02,37
2026-03-09 22:29:32,40
2026-03-09 22:30:02,40
2026-03-09 22:30:32,55
2026-03-09 22:31:02,39
2026-03-09 22:31:32,19
2026-03-09 22:32:02,49
2026-03-09 22:32:32,48
2026-03-09 22:33:02,37
2026-03-09 22:33:32,45
2026-03-09 22:34:02,23
2026-03-09 22:34:32,41
2026-03-09 22:35:02,35
2026-03-09 22:35:32,35
2026-03-09 22:36:02,35
2026-03-09 22:36:32,42
2026-03-09 22:37:02,32
2026-03-09 22:37:32,55
2026-03-09 22:38:02,39
2026-03-09 22:38:32,49
2026-03-09 22:39:02,48
2026-03-09 22:39:32,40
2026-03-09 22:40:02,43
2026-03-09 22:40:32,45
2026-03-09 22:41:02,31
2026-03-09 22:41:32,33
2026-03-09 22:42:02,68
2026-03-09 22:42:32,27
2026-03-09 22:43:02,33
2026-03-09 22:43:32,36.833333333333336
2026-03-09 22:44:02,36.833333333333336
2026-03-09 22:44:32,41
2026-03-09 22:45:02,41
2026-03-09 22:45:32,52
2026-03-09 22:46:02,47
2026-03-09 22:46:32,47
2026-03-09 22:47:02,46
2026-03-09 22:47:32,46
2026-03-09 22:48:02,48
2026-03-09 22:48:32,46
2026-03-09 22:49:02,48
2026-03-09 22:49:32,36
2026-03-09 22:50:02,43
2026-03-09 22:50:32,38
2026-03-09 22:51:02,12
2026-03-09 22:51:32,18
2026-03-09 22:52:02,44
2026-03-09 22:52:32,66
2026-03-09 22:53:02,41
2026-03-09 22:53:32,50
2026-03-09 22:54:02,53
2026-03-09 22:54:32,34
2026-03-09 22:55:02,54
2026-03-09 22:55:32,43.833333333333336
2026-03-09 22:56:02,44
2026-03-09 22:56:32,44
2026-03-09 22:57:02,33
2026-03-09 22:57:32,49
2026-03-09 22:58:02,51
2026-03-09 22:58:32,51
2026-03-09 22:59:02,29
2026-03-09 22:59:32,17
2026-03-09 23:00:02,57
2026-03-09 23:00:32,42
2026-03-09 23:01:02,48
