Time,"job=""promtail"""
2026-03-09 19:28:38,0.063584
2026-03-09 19:29:08,8.697176
2026-03-09 19:29:38,8.697176
2026-03-09 19:30:08,9.704394
2026-03-09 19:30:38,9.467798
2026-03-09 19:31:08,8.86453
2026-03-09 19:31:38,9.489402
2026-03-09 19:32:08,9.546704
2026-03-09 19:32:38,9.480768
2026-03-09 19:33:08,9.26537
2026-03-09 19:33:38,9.26537
2026-03-09 19:34:08,9.700237
2026-03-09 19:34:38,8.287634
2026-03-09 19:35:08,9.907728
2026-03-09 19:35:38,9.874426
2026-03-09 19:36:08,9.887694
2026-03-09 19:36:38,9.887694
2026-03-09 19:37:08,9.887694
2026-03-09 19:37:38,9.973308
2026-03-09 19:38:08,9.788372
2026-03-09 19:38:38,2.182564
2026-03-09 19:39:08,2.808362
2026-03-09 19:39:38,2.808362
2026-03-09 19:40:08,9.917166
2026-03-09 19:40:38,9.886842
2026-03-09 19:41:08,9.886842
2026-03-09 19:41:38,9.579982
2026-03-09 19:42:08,9.494222
2026-03-09 19:42:38,9.164962
2026-03-09 19:43:08,0.42122
2026-03-09 19:43:38,9.257804
2026-03-09 19:44:08,9.82247
2026-03-09 19:44:38,8.892146
2026-03-09 19:45:08,8.892146
2026-03-09 19:45:38,9.710986
2026-03-09 19:46:08,1.260148
2026-03-09 19:46:38,9.829098
2026-03-09 19:47:08,9.904256
2026-03-09 19:47:38,9.12789
2026-03-09 19:48:08,9.384594
2026-03-09 19:48:38,9.771836
2026-03-09 19:49:08,9.764488
2026-03-09 19:49:38,9.764488
2026-03-09 19:50:08,9.83
2026-03-09 19:50:38,9.751778
2026-03-09 19:51:08,8.617346
2026-03-09 19:51:38,3.735114
2026-03-09 19:52:08,9.780146
2026-03-09 19:52:38,9.760655999999999
2026-03-09 19:53:08,9.744478
2026-03-09 19:53:38,1.752786
2026-03-09 19:54:08,9.350412
2026-03-09 19:54:38,9.213662
2026-03-09 19:55:08,9.79212
2026-03-09 19:55:38,8.94746
2026-03-09 19:56:08,9.904496
2026-03-09 19:56:38,6.823136
2026-03-09 19:57:08,9.703048
2026-03-09 19:57:38,5.189386
2026-03-09 19:58:08,5.189386
2026-03-09 19:58:38,9.864218
2026-03-09 19:59:08,9.574308
2026-03-09 19:59:38,9.334928
2026-03-09 20:00:08,9.74756
2026-03-09 20:00:38,3.452748
2026-03-09 20:01:08,8.940718
2026-03-09 20:01:38,8.940718
2026-03-09 20:02:08,8.895866
2026-03-09 20:02:38,7.422651
2026-03-09 20:03:08,9.123464333333333
2026-03-09 20:03:38,9.123464333333333
2026-03-09 20:04:08,9.82943
2026-03-09 20:04:38,3.9647553333333336
2026-03-09 20:05:08,9.821618
