Time,"__name__=""rsk_txpool_pending_transactions"",instance=""rsk-rpc-exporter:9090"",job=""rsk-rpc-exporter"",node=""rskj-miner1"""
2026-03-17 00:22:07,22
2026-03-17 00:22:37,22
2026-03-17 00:23:07,18
2026-03-17 00:23:37,34
2026-03-17 00:24:07,36
2026-03-17 00:24:37,50
2026-03-17 00:25:07,36
2026-03-17 00:25:37,36
2026-03-17 00:26:07,0
2026-03-17 00:26:37,0
2026-03-17 00:27:07,0
2026-03-17 00:27:37,8
2026-03-17 00:28:07,22
2026-03-17 00:28:37,50
2026-03-17 00:29:07,50
2026-03-17 00:29:37,100
2026-03-17 00:30:07,50
2026-03-17 00:30:37,22
2026-03-17 00:31:07,50
2026-03-17 00:31:37,22
2026-03-17 00:32:07,22
2026-03-17 00:32:37,50
2026-03-17 00:33:07,50
2026-03-17 00:33:37,0
2026-03-17 00:34:07,50
2026-03-17 00:34:37,38
2026-03-17 00:35:07,144
2026-03-17 00:35:37,88
2026-03-17 00:36:07,88
2026-03-17 00:36:37,144
2026-03-17 00:37:07,290
2026-03-17 00:37:37,144
2026-03-17 00:38:07,0
2026-03-17 00:38:37,2
2026-03-17 00:39:07,0
2026-03-17 00:39:37,0
2026-03-17 00:40:07,1
2026-03-17 00:40:37,1
2026-03-17 00:41:07,2
2026-03-17 00:41:37,1
2026-03-17 00:42:07,2
2026-03-17 00:42:37,1
2026-03-17 00:43:07,1
2026-03-17 00:43:37,2
2026-03-17 00:44:07,2
2026-03-17 00:44:37,4
2026-03-17 00:45:07,4
2026-03-17 00:45:37,2
2026-03-17 00:46:07,2
2026-03-17 00:46:37,2
2026-03-17 00:47:07,4
2026-03-17 00:47:37,8
2026-03-17 00:48:07,16
2026-03-17 00:48:37,3
2026-03-17 00:49:07,4
2026-03-17 00:49:37,4
2026-03-17 00:50:07,8
2026-03-17 00:50:37,18
2026-03-17 00:51:07,8
2026-03-17 00:51:37,18
2026-03-17 00:52:07,8
2026-03-17 00:52:37,0
2026-03-17 00:53:07,4
2026-03-17 00:53:37,8
2026-03-17 00:54:07,8
2026-03-17 00:54:37,8
2026-03-17 00:55:07,8
2026-03-17 00:55:37,22
2026-03-17 00:56:07,8
2026-03-17 00:56:37,22
2026-03-17 00:57:07,36
2026-03-17 00:57:37,64
2026-03-17 00:58:07,36
2026-03-17 00:58:37,69
2026-03-17 00:59:07,102
2026-03-17 00:59:37,96
2026-03-17 01:00:07,0
2026-03-17 01:00:37,0
2026-03-17 01:01:07,50
2026-03-17 01:01:37,0
2026-03-17 01:02:07,22
2026-03-17 01:02:37,72
2026-03-17 01:03:07,100
2026-03-17 01:03:37,128
2026-03-17 01:04:07,104
2026-03-17 01:04:37,50
2026-03-17 01:05:07,0
2026-03-17 01:05:37,0
2026-03-17 01:06:07,0
2026-03-17 01:06:37,0
2026-03-17 01:07:07,50
2026-03-17 01:07:37,0
2026-03-17 01:08:07,50
2026-03-17 01:08:37,100
2026-03-17 01:09:07,1
2026-03-17 01:09:37,0
2026-03-17 01:10:07,2
2026-03-17 01:10:37,0
2026-03-17 01:11:07,0
2026-03-17 01:11:37,2
2026-03-17 01:12:07,1
2026-03-17 01:12:37,2
2026-03-17 01:13:07,2
2026-03-17 01:13:37,2
2026-03-17 01:14:07,3
2026-03-17 01:14:37,0
2026-03-17 01:15:07,2
2026-03-17 01:15:37,2
2026-03-17 01:16:07,2
2026-03-17 01:16:37,2
