Time,Series_B
2026-03-16 23:33:37,1
2026-03-16 23:34:07,33
2026-03-16 23:34:37,33
2026-03-16 23:35:07,33
2026-03-16 23:35:37,33
2026-03-16 23:36:07,33
2026-03-16 23:36:37,33
2026-03-16 23:37:07,33
2026-03-16 23:37:37,2
2026-03-16 23:38:07,2
2026-03-16 23:38:37,1
2026-03-16 23:39:07,1
2026-03-16 23:39:37,2
2026-03-16 23:40:07,2
2026-03-16 23:40:37,2
2026-03-16 23:41:07,2
2026-03-16 23:41:37,2
2026-03-16 23:42:07,2
2026-03-16 23:42:37,3
2026-03-16 23:43:07,3
2026-03-16 23:43:37,1
2026-03-16 23:44:07,3
2026-03-16 23:44:37,1
2026-03-16 23:45:07,3
2026-03-16 23:45:37,3
2026-03-16 23:46:07,3
2026-03-16 23:46:37,3
2026-03-16 23:47:07,3
2026-03-16 23:47:37,3
2026-03-16 23:48:07,4
2026-03-16 23:48:37,4
2026-03-16 23:49:07,4
2026-03-16 23:49:37,4
2026-03-16 23:50:07,5
2026-03-16 23:50:37,5
2026-03-16 23:51:07,5
2026-03-16 23:51:37,5
2026-03-16 23:52:07,5
2026-03-16 23:52:37,7
2026-03-16 23:53:07,7
2026-03-16 23:53:37,9
2026-03-16 23:54:07,1
2026-03-16 23:54:37,9
2026-03-16 23:55:07,1
2026-03-16 23:55:37,9
2026-03-16 23:56:07,1
2026-03-16 23:56:37,9
2026-03-16 23:57:07,9
2026-03-16 23:57:37,17
2026-03-16 23:58:07,17
2026-03-16 23:58:37,1
2026-03-16 23:59:07,17
2026-03-16 23:59:37,17
2026-03-17 00:00:07,17
2026-03-17 00:00:37,17
2026-03-17 00:01:07,17
2026-03-17 00:01:37,17
2026-03-17 00:02:07,17
2026-03-17 00:02:37,23
2026-03-17 00:03:07,33
2026-03-17 00:03:37,1
2026-03-17 00:04:07,33
2026-03-17 00:04:37,1
2026-03-17 00:05:07,1
2026-03-17 00:05:37,33
2026-03-17 00:06:07,33
2026-03-17 00:06:37,33
2026-03-17 00:07:07,1
2026-03-17 00:07:37,1
2026-03-17 00:08:07,2
2026-03-17 00:08:37,2
2026-03-17 00:09:07,2
2026-03-17 00:09:37,2
2026-03-17 00:10:07,2
2026-03-17 00:10:37,2
2026-03-17 00:11:07,1
2026-03-17 00:11:37,2
2026-03-17 00:12:07,1
2026-03-17 00:12:37,1
2026-03-17 00:13:07,2
2026-03-17 00:13:37,2
2026-03-17 00:14:07,3
2026-03-17 00:14:37,3
2026-03-17 00:15:07,3
2026-03-17 00:15:37,3
2026-03-17 00:16:07,3
2026-03-17 00:16:37,3
2026-03-17 00:17:07,3
2026-03-17 00:17:37,3
2026-03-17 00:18:07,1
2026-03-17 00:18:37,5
2026-03-17 00:19:07,3
2026-03-17 00:19:37,5
2026-03-17 00:20:07,5
2026-03-17 00:20:37,5
2026-03-17 00:21:07,5
2026-03-17 00:21:37,5
2026-03-17 00:22:07,5
2026-03-17 00:22:37,5
2026-03-17 00:23:07,5
2026-03-17 00:23:37,7
2026-03-17 00:24:07,9
2026-03-17 00:24:37,9
2026-03-17 00:25:07,9
2026-03-17 00:25:37,9
2026-03-17 00:26:07,9
2026-03-17 00:26:37,9
2026-03-17 00:27:07,1
2026-03-17 00:27:37,9
2026-03-17 00:28:07,1
2026-03-17 00:28:37,17
2026-03-17 00:29:07,17
2026-03-17 00:29:37,17
2026-03-17 00:30:07,17
2026-03-17 00:30:37,17
2026-03-17 00:31:07,17
2026-03-17 00:31:37,17
2026-03-17 00:32:07,17
2026-03-17 00:32:37,1
2026-03-17 00:33:07,1
2026-03-17 00:33:37,33
2026-03-17 00:34:07,1
2026-03-17 00:34:37,33
2026-03-17 00:35:07,33
2026-03-17 00:35:37,33
2026-03-17 00:36:07,33
2026-03-17 00:36:37,33
2026-03-17 00:37:07,33
2026-03-17 00:37:37,33
2026-03-17 00:38:07,33
2026-03-17 00:38:37,2
2026-03-17 00:39:07,2
2026-03-17 00:39:37,2
2026-03-17 00:40:07,1
2026-03-17 00:40:37,2
2026-03-17 00:41:07,1
2026-03-17 00:41:37,2
2026-03-17 00:42:07,2
2026-03-17 00:42:37,2
2026-03-17 00:43:07,2
2026-03-17 00:43:37,2
2026-03-17 00:44:07,1
2026-03-17 00:44:37,3
2026-03-17 00:45:07,3
2026-03-17 00:45:37,3
2026-03-17 00:46:07,3
2026-03-17 00:46:37,1
2026-03-17 00:47:07,3
2026-03-17 00:47:37,3
2026-03-17 00:48:07,3
2026-03-17 00:48:37,3.75
2026-03-17 00:49:07,5
2026-03-17 00:49:37,5
2026-03-17 00:50:07,5
2026-03-17 00:50:37,5
2026-03-17 00:51:07,5
2026-03-17 00:51:37,5
2026-03-17 00:52:07,5
2026-03-17 00:52:37,5
2026-03-17 00:53:07,5
2026-03-17 00:53:37,1
2026-03-17 00:54:07,9
2026-03-17 00:54:37,9
2026-03-17 00:55:07,9
2026-03-17 00:55:37,9
2026-03-17 00:56:07,9
2026-03-17 00:56:37,9
2026-03-17 00:57:07,9
2026-03-17 00:57:37,9
2026-03-17 00:58:07,9
2026-03-17 00:58:37,12
2026-03-17 00:59:07,12
2026-03-17 00:59:37,12
2026-03-17 01:00:07,1
2026-03-17 01:00:37,1
2026-03-17 01:01:07,1
2026-03-17 01:01:37,17
2026-03-17 01:02:07,17
2026-03-17 01:02:37,17
2026-03-17 01:03:07,17
2026-03-17 01:03:37,21
2026-03-17 01:04:07,23
2026-03-17 01:04:37,33
2026-03-17 01:05:07,33
2026-03-17 01:05:37,1
2026-03-17 01:06:07,33
2026-03-17 01:06:37,33
2026-03-17 01:07:07,33
2026-03-17 01:07:37,33
2026-03-17 01:08:07,33
2026-03-17 01:08:37,33
2026-03-17 01:09:07,2
2026-03-17 01:09:37,2
2026-03-17 01:10:07,1
2026-03-17 01:10:37,2
2026-03-17 01:11:07,1
2026-03-17 01:11:37,1
2026-03-17 01:12:07,2
2026-03-17 01:12:37,2
2026-03-17 01:13:07,2
2026-03-17 01:13:37,2
2026-03-17 01:14:07,2.25
2026-03-17 01:14:37,3
2026-03-17 01:15:07,3
2026-03-17 01:15:37,3
2026-03-17 01:16:07,3
2026-03-17 01:16:37,3
2026-03-17 01:17:07,3
2026-03-17 01:17:37,3
2026-03-17 01:18:07,3
2026-03-17 01:18:37,3
2026-03-17 01:19:07,1
2026-03-17 01:19:37,5
2026-03-17 01:20:07,5
2026-03-17 01:20:37,1
2026-03-17 01:21:07,5
2026-03-17 01:21:37,1
2026-03-17 01:22:07,1
2026-03-17 01:22:37,5
2026-03-17 01:23:07,5
2026-03-17 01:23:37,5
2026-03-17 01:24:07,7
2026-03-17 01:24:37,9
2026-03-17 01:25:07,9
2026-03-17 01:25:37,9
2026-03-17 01:26:07,9
2026-03-17 01:26:37,5
2026-03-17 01:27:07,9
2026-03-17 01:27:37,9
2026-03-17 01:28:07,9
2026-03-17 01:28:37,9
2026-03-17 01:29:07,9
2026-03-17 01:29:37,12
2026-03-17 01:30:07,16.75
2026-03-17 01:30:37,17
2026-03-17 01:31:07,17
2026-03-17 01:31:37,17
2026-03-17 01:32:07,17
2026-03-17 01:32:37,17
2026-03-17 01:33:07,17
2026-03-17 01:33:37,17
2026-03-17 01:34:07,20
2026-03-17 01:34:37,23
2026-03-17 01:35:07,33
2026-03-17 01:35:37,33
2026-03-17 01:36:07,33
2026-03-17 01:36:37,33
2026-03-17 01:37:07,33
2026-03-17 01:37:37,33
2026-03-17 01:38:07,33
2026-03-17 01:38:37,33
2026-03-17 01:39:07,33
2026-03-17 01:39:37,3
2026-03-17 01:40:07,2
2026-03-17 01:40:37,2
2026-03-17 01:41:07,2
2026-03-17 01:41:37,2
2026-03-17 01:42:07,1
2026-03-17 01:42:37,2
2026-03-17 01:43:07,2
2026-03-17 01:43:37,1
2026-03-17 01:44:07,2
2026-03-17 01:44:37,3
2026-03-17 01:45:07,3
2026-03-17 01:45:37,3
2026-03-17 01:46:07,3
2026-03-17 01:46:37,3
2026-03-17 01:47:07,3
2026-03-17 01:47:37,3
2026-03-17 01:48:07,3
2026-03-17 01:48:37,3
2026-03-17 01:49:07,3
2026-03-17 01:49:37,4
2026-03-17 01:50:07,4
2026-03-17 01:50:37,4
2026-03-17 01:51:07,5
2026-03-17 01:51:37,5
2026-03-17 01:52:07,5
2026-03-17 01:52:37,5
2026-03-17 01:53:07,5
2026-03-17 01:53:37,5
2026-03-17 01:54:07,5
2026-03-17 01:54:37,5
2026-03-17 01:55:07,5
2026-03-17 01:55:37,5
2026-03-17 01:56:07,9
2026-03-17 01:56:37,9
2026-03-17 01:57:07,9
2026-03-17 01:57:37,9
2026-03-17 01:58:07,9
2026-03-17 01:58:37,9
2026-03-17 01:59:07,9
2026-03-17 01:59:37,9
2026-03-17 02:00:07,12
2026-03-17 02:00:37,12
2026-03-17 02:01:07,17
2026-03-17 02:01:37,17
2026-03-17 02:02:07,17
2026-03-17 02:02:37,1
2026-03-17 02:03:07,1
2026-03-17 02:03:37,17
2026-03-17 02:04:07,17
2026-03-17 02:04:37,23
2026-03-17 02:05:07,33
2026-03-17 02:05:37,33
2026-03-17 02:06:07,33
2026-03-17 02:06:37,33
2026-03-17 02:07:07,33
2026-03-17 02:07:37,33
2026-03-17 02:08:07,33
2026-03-17 02:08:37,33
2026-03-17 02:09:07,1
2026-03-17 02:09:37,2
2026-03-17 02:10:07,2
2026-03-17 02:10:37,2
2026-03-17 02:11:07,2
2026-03-17 02:11:37,2
2026-03-17 02:12:07,2
2026-03-17 02:12:37,2
2026-03-17 02:13:07,2
2026-03-17 02:13:37,2
2026-03-17 02:14:07,2
2026-03-17 02:14:37,2
2026-03-17 02:15:07,2
2026-03-17 02:15:37,1
