"Time","rskj-miner4"
2026-01-29 20:32:00,15.8%
2026-01-29 20:36:00,28.8%
2026-01-29 20:40:00,43.7%
2026-01-29 20:44:00,15.1%
2026-01-29 20:48:00,14.7%
2026-01-29 20:52:00,16.0%
2026-01-29 20:56:00,25.3%
2026-01-29 21:00:00,21.1%
2026-01-29 21:04:00,29.8%
2026-01-29 21:08:00,13.4%
2026-01-29 21:12:00,20.1%
2026-01-29 21:16:00,9.42%
2026-01-29 21:20:00,19.6%
2026-01-29 21:24:00,18.2%
2026-01-29 21:28:00,11.6%
2026-01-29 21:32:00,12.1%
2026-01-29 21:36:00,23.7%
2026-01-29 21:40:00,10.8%
2026-01-29 21:44:00,31.5%
2026-01-29 21:48:00,26.8%
2026-01-29 21:52:00,29.7%
2026-01-29 21:56:00,24.4%
2026-01-29 22:00:00,14.5%
2026-01-29 22:04:00,12.4%
2026-01-29 22:08:00,14.8%
2026-01-29 22:12:00,14.1%
2026-01-29 22:16:00,22.8%
2026-01-29 22:20:00,19.2%
2026-01-29 22:24:00,21.8%
2026-01-29 22:28:00,14.0%
2026-01-29 22:32:00,12.5%
2026-01-29 22:36:00,14.5%
2026-01-29 22:40:00,13.8%
2026-01-29 22:44:00,8.43%
2026-01-29 22:48:00,17.7%
2026-01-29 22:52:00,17.3%
2026-01-29 22:56:00,14.0%
2026-01-29 23:00:00,24.4%
2026-01-29 23:04:00,20.4%
2026-01-29 23:08:00,16.5%
2026-01-29 23:12:00,25.4%
2026-01-29 23:16:00,22.8%
2026-01-29 23:20:00,12.4%
2026-01-29 23:24:00,17.3%
2026-01-29 23:28:00,18.5%
2026-01-29 23:32:00,23.0%
2026-01-29 23:36:00,38.0%
2026-01-29 23:40:00,25.5%
2026-01-29 23:44:00,15.7%
2026-01-29 23:48:00,9.19%
2026-01-29 23:52:00,10.6%
2026-01-29 23:56:00,18.9%
2026-01-30 00:00:00,22.1%
2026-01-30 00:04:00,77.7%
2026-01-30 00:08:00,20.2%
2026-01-30 00:12:00,19.6%
2026-01-30 00:16:00,16.4%
2026-01-30 00:20:00,12.1%
2026-01-30 00:24:00,174%
2026-01-30 00:28:00,22.9%
2026-01-30 00:32:00,18.9%
2026-01-30 00:36:00,27.4%
2026-01-30 00:40:00,90.5%
2026-01-30 00:44:00,26.3%
2026-01-30 00:48:00,21.7%
2026-01-30 00:52:00,22.4%
2026-01-30 00:56:00,14.0%
2026-01-30 01:00:00,23.3%
2026-01-30 01:04:00,11.8%
2026-01-30 01:08:00,13.0%
2026-01-30 01:12:00,8.28%
2026-01-30 01:16:00,14.8%
2026-01-30 01:20:00,10.4%
2026-01-30 01:24:00,19.0%
2026-01-30 01:28:00,13.1%
2026-01-30 01:32:00,14.2%
2026-01-30 01:36:00,38.6%
2026-01-30 01:40:00,22.5%
2026-01-30 01:44:00,31.4%
2026-01-30 01:48:00,75.6%
2026-01-30 01:52:00,16.5%
2026-01-30 01:56:00,13.3%
2026-01-30 02:00:00,21.1%
2026-01-30 02:04:00,27.3%
2026-01-30 02:08:00,14.8%
2026-01-30 02:12:00,15.2%
2026-01-30 02:16:00,13.0%
2026-01-30 02:20:00,13.8%
2026-01-30 02:24:00,22.9%
2026-01-30 02:28:00,15.3%
2026-01-30 02:32:00,11.9%
2026-01-30 02:36:00,24.8%
2026-01-30 02:40:00,16.8%
2026-01-30 02:44:00,19.4%
2026-01-30 02:48:00,15.6%
2026-01-30 02:52:00,16.4%
2026-01-30 02:56:00,9.64%
2026-01-30 03:00:00,21.0%
2026-01-30 03:04:00,14.1%
2026-01-30 03:08:00,11.4%
2026-01-30 03:12:00,9.47%
2026-01-30 03:16:00,15.9%
2026-01-30 03:20:00,14.6%
2026-01-30 03:24:00,9.30%
2026-01-30 03:28:00,19.4%
2026-01-30 03:32:00,10.8%
2026-01-30 03:36:00,18.6%
2026-01-30 03:40:00,18.1%
2026-01-30 03:44:00,23.8%
2026-01-30 03:48:00,14.7%
2026-01-30 03:52:00,16.4%
2026-01-30 03:56:00,34.7%
2026-01-30 04:00:00,15.7%
2026-01-30 04:04:00,52.4%
2026-01-30 04:08:00,16.5%
2026-01-30 04:12:00,15.6%
2026-01-30 04:16:00,14.8%
2026-01-30 04:20:00,16.4%
2026-01-30 04:24:00,13.2%
2026-01-30 04:28:00,20.7%
2026-01-30 04:32:00,16.0%
2026-01-30 04:36:00,15.1%
2026-01-30 04:40:00,18.0%
2026-01-30 04:44:00,20.8%
2026-01-30 04:48:00,25.7%
2026-01-30 04:52:00,31.6%
2026-01-30 04:56:00,11.3%
2026-01-30 05:00:00,11.0%
2026-01-30 05:04:00,12.6%
2026-01-30 05:08:00,8.63%
2026-01-30 05:12:00,14.4%
2026-01-30 05:16:00,12.4%
2026-01-30 05:20:00,14.5%
2026-01-30 05:24:00,15.8%
2026-01-30 05:28:00,28.1%
2026-01-30 05:32:00,9.75%
2026-01-30 05:36:00,13.1%
2026-01-30 05:40:00,26.1%
2026-01-30 05:44:00,12.5%
2026-01-30 05:48:00,18.1%
2026-01-30 05:52:00,13.0%
2026-01-30 05:56:00,12.0%
2026-01-30 06:00:00,15.2%
2026-01-30 06:04:00,21.6%
2026-01-30 06:08:00,19.2%
2026-01-30 06:12:00,21.4%
2026-01-30 06:16:00,19.7%
2026-01-30 06:20:00,16.6%
2026-01-30 06:24:00,23.3%
2026-01-30 06:28:00,13.0%
2026-01-30 06:32:00,9.85%
2026-01-30 06:36:00,9.63%
2026-01-30 06:40:00,108%
2026-01-30 06:44:00,9.32%
2026-01-30 06:48:00,15.4%
2026-01-30 06:52:00,12.9%
2026-01-30 06:56:00,10.4%
2026-01-30 07:00:00,12.6%
2026-01-30 07:04:00,18.1%
2026-01-30 07:08:00,25.6%
2026-01-30 07:12:00,11.4%
2026-01-30 07:16:00,5.81%
2026-01-30 07:20:00,19.9%
2026-01-30 07:24:00,12.4%
2026-01-30 07:28:00,13.0%
2026-01-30 07:32:00,51.8%
2026-01-30 07:36:00,9.90%
2026-01-30 07:40:00,14.4%
2026-01-30 07:44:00,13.7%
2026-01-30 07:48:00,15.5%
2026-01-30 07:52:00,15.2%
2026-01-30 07:56:00,24.8%
2026-01-30 08:00:00,64.0%
2026-01-30 08:04:00,47.0%
2026-01-30 08:08:00,10.3%
2026-01-30 08:12:00,19.0%
2026-01-30 08:16:00,14.8%
2026-01-30 08:20:00,9.76%
2026-01-30 08:24:00,22.2%
2026-01-30 08:28:00,16.0%
2026-01-30 08:32:00,14.0%
2026-01-30 08:36:00,95.3%
2026-01-30 08:40:00,9.99%
2026-01-30 08:44:00,14.2%
2026-01-30 08:48:00,19.1%
2026-01-30 08:52:00,16.0%
2026-01-30 08:56:00,17.4%
2026-01-30 09:00:00,10.9%
2026-01-30 09:04:00,10.2%
2026-01-30 09:08:00,11.3%
2026-01-30 09:12:00,19.0%
2026-01-30 09:16:00,17.2%
2026-01-30 09:20:00,51.6%
2026-01-30 09:24:00,12.0%
2026-01-30 09:28:00,21.0%
2026-01-30 09:32:00,15.6%
2026-01-30 09:36:00,12.3%
2026-01-30 09:40:00,25.5%
2026-01-30 09:44:00,9.51%
2026-01-30 09:48:00,14.4%
2026-01-30 09:52:00,37.0%
2026-01-30 09:56:00,25.8%
2026-01-30 10:00:00,16.9%
2026-01-30 10:04:00,10.3%
2026-01-30 10:08:00,24.0%
2026-01-30 10:12:00,14.1%
2026-01-30 10:16:00,11.5%
2026-01-30 10:20:00,24.3%
2026-01-30 10:24:00,5.16%
2026-01-30 10:28:00,31.0%
2026-01-30 10:32:00,31.1%
2026-01-30 10:36:00,8.40%
2026-01-30 10:40:00,17.8%
2026-01-30 10:44:00,14.8%
2026-01-30 10:48:00,16.2%
2026-01-30 10:52:00,16.8%
2026-01-30 10:56:00,18.3%
2026-01-30 11:00:00,25.2%
2026-01-30 11:04:00,11.4%
2026-01-30 11:08:00,17.1%
2026-01-30 11:12:00,17.3%
2026-01-30 11:16:00,13.6%
2026-01-30 11:20:00,16.9%
2026-01-30 11:24:00,14.0%
2026-01-30 11:28:00,14.9%
2026-01-30 11:32:00,16.6%
2026-01-30 11:36:00,15.7%
2026-01-30 11:40:00,17.6%
2026-01-30 11:44:00,14.3%
2026-01-30 11:48:00,34.5%
2026-01-30 11:52:00,16.5%
2026-01-30 11:56:00,18.7%
2026-01-30 12:00:00,13.5%
2026-01-30 12:04:00,21.2%
2026-01-30 12:08:00,21.5%
2026-01-30 12:12:00,17.6%
2026-01-30 12:16:00,10.6%
2026-01-30 12:20:00,26.8%
2026-01-30 12:24:00,16.5%
2026-01-30 12:28:00,24.2%
2026-01-30 12:32:00,12.7%
2026-01-30 12:36:00,15.9%
2026-01-30 12:40:00,16.2%
2026-01-30 12:44:00,132%
2026-01-30 12:48:00,19.8%
2026-01-30 12:52:00,27.4%
2026-01-30 12:56:00,18.2%
2026-01-30 13:00:00,13.6%
2026-01-30 13:04:00,16.9%
2026-01-30 13:08:00,21.3%
2026-01-30 13:12:00,12.2%
2026-01-30 13:16:00,14.7%
2026-01-30 13:20:00,16.8%
2026-01-30 13:24:00,9.19%
2026-01-30 13:28:00,17.5%
2026-01-30 13:32:00,13.0%
2026-01-30 13:36:00,16.5%
2026-01-30 13:40:00,14.3%
2026-01-30 13:44:00,16.6%
2026-01-30 13:48:00,27.8%
2026-01-30 13:52:00,14.7%
2026-01-30 13:56:00,23.2%
2026-01-30 14:00:00,16.7%
2026-01-30 14:04:00,22.2%
2026-01-30 14:08:00,25.3%
2026-01-30 14:12:00,19.3%
2026-01-30 14:16:00,12.6%
2026-01-30 14:20:00,14.3%
2026-01-30 14:24:00,25.6%
2026-01-30 14:28:00,16.1%
2026-01-30 14:32:00,9.53%
2026-01-30 14:36:00,19.1%
2026-01-30 14:40:00,46.4%
2026-01-30 14:44:00,10.6%
2026-01-30 14:48:00,18.0%
2026-01-30 14:52:00,88.3%
2026-01-30 14:56:00,27.1%
2026-01-30 15:00:00,14.9%
2026-01-30 15:04:00,13.1%
2026-01-30 15:08:00,11.4%
2026-01-30 15:12:00,10.4%
2026-01-30 15:16:00,19.5%
2026-01-30 15:20:00,15.7%
2026-01-30 15:24:00,10.4%
2026-01-30 15:28:00,11.1%
2026-01-30 15:32:00,17.9%
