Time,Series_B
2026-02-13 17:12:38,17
2026-02-13 17:13:08,17
2026-02-13 17:13:38,17
2026-02-13 17:14:08,17
2026-02-13 17:14:38,17
2026-02-13 17:15:08,17
2026-02-13 17:15:38,26
2026-02-13 17:16:08,26
2026-02-13 17:16:38,23
2026-02-13 17:17:08,35
2026-02-13 17:17:38,35
2026-02-13 17:18:08,35
2026-02-13 17:18:38,35
2026-02-13 17:19:08,35
2026-02-13 17:19:38,15
2026-02-13 17:20:08,15
2026-02-13 17:20:38,16
2026-02-13 17:21:08,2
2026-02-13 17:21:38,2
2026-02-13 17:22:08,2
2026-02-13 17:22:38,2
2026-02-13 17:23:08,2
2026-02-13 17:23:38,1
2026-02-13 17:24:08,2
2026-02-13 17:24:38,2
2026-02-13 17:25:08,2
2026-02-13 17:25:38,2
2026-02-13 17:26:08,3
2026-02-13 17:26:38,3
2026-02-13 17:27:08,3
2026-02-13 17:27:38,3
2026-02-13 17:28:08,3
2026-02-13 17:28:38,3
2026-02-13 17:29:08,3
2026-02-13 17:29:38,3
2026-02-13 17:30:08,3
2026-02-13 17:30:38,3
2026-02-13 17:31:08,4
2026-02-13 17:31:38,5
2026-02-13 17:32:08,5
2026-02-13 17:32:38,4
2026-02-13 17:33:08,5
2026-02-13 17:33:38,5
2026-02-13 17:34:08,5
2026-02-13 17:34:38,5
2026-02-13 17:35:08,5
2026-02-13 17:35:38,5
2026-02-13 17:36:08,7
2026-02-13 17:36:38,7
2026-02-13 17:37:08,7
2026-02-13 17:37:38,7
2026-02-13 17:38:08,9
2026-02-13 17:38:38,9
2026-02-13 17:39:08,9
2026-02-13 17:39:38,9
2026-02-13 17:40:08,9
2026-02-13 17:40:38,9
2026-02-13 17:41:08,12
2026-02-13 17:41:38,12
2026-02-13 17:42:08,12
2026-02-13 17:42:38,12
2026-02-13 17:43:08,17
2026-02-13 17:43:38,17
2026-02-13 17:44:08,17
2026-02-13 17:44:38,17
2026-02-13 17:45:08,17
2026-02-13 17:45:38,17
2026-02-13 17:46:08,30
2026-02-13 17:46:38,15
2026-02-13 17:47:08,15
2026-02-13 17:47:38,35
2026-02-13 17:48:08,35
2026-02-13 17:48:38,1
2026-02-13 17:49:08,15
2026-02-13 17:49:38,35
2026-02-13 17:50:08,15
2026-02-13 17:50:38,15
2026-02-13 17:51:08,35
2026-02-13 17:51:38,2
2026-02-13 17:52:08,2
2026-02-13 17:52:38,2
2026-02-13 17:53:08,2
2026-02-13 17:53:38,2
2026-02-13 17:54:08,2
2026-02-13 17:54:38,2
2026-02-13 17:55:08,1
2026-02-13 17:55:38,1
2026-02-13 17:56:08,2
2026-02-13 17:56:38,3
2026-02-13 17:57:08,3
2026-02-13 17:57:38,3
2026-02-13 17:58:08,3
2026-02-13 17:58:38,3
2026-02-13 17:59:08,3
2026-02-13 17:59:38,3
2026-02-13 18:00:08,3
2026-02-13 18:00:38,3
2026-02-13 18:01:08,3
2026-02-13 18:01:38,5
2026-02-13 18:02:08,5
2026-02-13 18:02:38,4
2026-02-13 18:03:08,5
2026-02-13 18:03:38,5
2026-02-13 18:04:08,5
2026-02-13 18:04:38,5
2026-02-13 18:05:08,5
2026-02-13 18:05:38,5
2026-02-13 18:06:08,5
2026-02-13 18:06:38,5
2026-02-13 18:07:08,5
2026-02-13 18:07:38,9
2026-02-13 18:08:08,9
2026-02-13 18:08:38,9
2026-02-13 18:09:08,9
2026-02-13 18:09:38,9
2026-02-13 18:10:08,9
2026-02-13 18:10:38,9
2026-02-13 18:11:08,9
2026-02-13 18:11:38,9
2026-02-13 18:12:08,9
2026-02-13 18:12:38,12
2026-02-13 18:13:08,12
2026-02-13 18:13:38,12
2026-02-13 18:14:08,12
2026-02-13 18:14:38,17
2026-02-13 18:15:08,17
2026-02-13 18:15:38,17
2026-02-13 18:16:08,17
2026-02-13 18:16:38,31.166666666666668
2026-02-13 18:17:08,34
2026-02-13 18:17:38,23
2026-02-13 18:18:08,15
2026-02-13 18:18:38,15
2026-02-13 18:19:08,15
2026-02-13 18:19:38,15
2026-02-13 18:20:08,15
2026-02-13 18:20:38,15
2026-02-13 18:21:08,15
2026-02-13 18:21:38,15
2026-02-13 18:22:08,15
2026-02-13 18:22:38,35
2026-02-13 18:23:08,35
2026-02-13 18:23:38,35
2026-02-13 18:24:08,35
2026-02-13 18:24:38,2
2026-02-13 18:25:08,2
2026-02-13 18:25:38,2
2026-02-13 18:26:08,2
2026-02-13 18:26:38,2
2026-02-13 18:27:08,1
2026-02-13 18:27:38,2
2026-02-13 18:28:08,2
2026-02-13 18:28:38,2
2026-02-13 18:29:08,2
2026-02-13 18:29:38,2
2026-02-13 18:30:08,2
2026-02-13 18:30:38,2
2026-02-13 18:31:08,2
2026-02-13 18:31:38,2
2026-02-13 18:32:08,3
2026-02-13 18:32:38,1
2026-02-13 18:33:08,3
2026-02-13 18:33:38,3
2026-02-13 18:34:08,3
2026-02-13 18:34:38,3
2026-02-13 18:35:08,3
2026-02-13 18:35:38,4
2026-02-13 18:36:08,4
2026-02-13 18:36:38,4
2026-02-13 18:37:08,5
2026-02-13 18:37:38,5
2026-02-13 18:38:08,5
2026-02-13 18:38:38,5
2026-02-13 18:39:08,5
2026-02-13 18:39:38,5
2026-02-13 18:40:08,5
2026-02-13 18:40:38,5
2026-02-13 18:41:08,9
2026-02-13 18:41:38,9
2026-02-13 18:42:08,9
2026-02-13 18:42:38,9
2026-02-13 18:43:08,9
2026-02-13 18:43:38,9
2026-02-13 18:44:08,9
2026-02-13 18:44:38,9
2026-02-13 18:45:08,17
2026-02-13 18:45:38,12
2026-02-13 18:46:08,13
2026-02-13 18:46:38,17
2026-02-13 18:47:08,17
2026-02-13 18:47:38,17
2026-02-13 18:48:08,17
2026-02-13 18:48:38,17
2026-02-13 18:49:08,17
2026-02-13 18:49:38,17
2026-02-13 18:50:08,29
2026-02-13 18:50:38,29
2026-02-13 18:51:08,1
2026-02-13 18:51:38,15
2026-02-13 18:52:08,35
2026-02-13 18:52:38,35
2026-02-13 18:53:08,35
2026-02-13 18:53:38,35
2026-02-13 18:54:08,35
2026-02-13 18:54:38,15
2026-02-13 18:55:08,15
2026-02-13 18:55:38,16
2026-02-13 18:56:08,2
2026-02-13 18:56:38,2
2026-02-13 18:57:08,2
2026-02-13 18:57:38,1
2026-02-13 18:58:08,2
2026-02-13 18:58:38,2
2026-02-13 18:59:08,2
2026-02-13 18:59:38,2
2026-02-13 19:00:08,2
2026-02-13 19:00:38,2
2026-02-13 19:01:08,3
2026-02-13 19:01:38,3
2026-02-13 19:02:08,3
2026-02-13 19:02:38,3
2026-02-13 19:03:08,3
2026-02-13 19:03:38,3
2026-02-13 19:04:08,3
2026-02-13 19:04:38,3
2026-02-13 19:05:08,3
2026-02-13 19:05:38,3
2026-02-13 19:06:08,4
2026-02-13 19:06:38,4
2026-02-13 19:07:08,4
2026-02-13 19:07:38,4
2026-02-13 19:08:08,5
2026-02-13 19:08:38,5
