Time,"__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-03-17 19:49:16,2444580232,1046581248,821642240,837778432,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:49:46,3017448448,364285952,451494912,1464826880,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:50:16,1481693696,2310783488,940131328,1957657600,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:50:46,2807240704,928527192,1300841472,546274304,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:51:16,3452786512,2199028736,1659454464,1064270848,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:51:46,498956848,3003230720,577324032,1586461696,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:52:16,1807581488,1928674240,864633856,2068806656,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:52:46,3120393232,413431296,1242121216,702512128,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:53:16,3124372736,511148512,1770603520,1145011200,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:53:46,3366184640,521719296,845759488,1679784960,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:54:16,3069834656,3050884608,1319715840,2151644160,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:54:46,2634900992,2432753520,412697600,863992832,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:55:16,2657791424,2465402272,1108952064,1480555520,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:55:46,2279086160,2102761152,1673085952,2157935616,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:56:16,846490024,1655554776,557700768,975141888,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:56:46,507296856,672223408,364360704,1652521984,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:57:16,1719584256,649640576,852997120,472873984,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:57:46,1735986632,2149333384,586789904,1284471808,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:58:16,2181637632,808333824,729265152,721801848,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:58:46,1252792320,1902533632,1440199680,1422250616,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:59:16,2764477440,1552178688,552458408,2007356024,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:59:46,1088680448,972878848,963500200,845276720,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:00:16,2045110272,3230246880,1307433128,748114432,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:00:46,3401437184,2631445504,1768806568,763211776,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:01:16,2702325760,1387507712,1091023872,1488826368,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:01:46,2908350440,521319592,1155740672,1095610368,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:02:16,1507186672,1909846568,2044933120,1802350584,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:02:46,3363726896,640904704,640370344,1134407680,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:03:16,2581479936,1286066176,1110132392,1841147904,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:03:46,2745860608,940006400,1502299816,985509888,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:04:16,514968416,1975546480,475833712,1914548224,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:04:46,831190928,636265168,1367123312,1183952912,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:05:16,2865788240,1081670944,2216469872,1838264336,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:05:46,1163589120,2685936128,875382456,539996176,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:06:16,3584566784,658212352,1313687224,1064284176,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:06:46,3378806864,1565387392,1653425848,1594863632,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:07:16,3630155872,3049822720,2005747384,2138026000,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:07:46,3215613440,1662430736,588623872,877506560,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:08:16,1821651224,3533974336,1247129600,1536012288,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:08:46,3146131680,2538704384,1905635328,2160963584,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:09:16,3165758216,907283968,851947536,1003335680,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:09:46,3425417008,3194267792,1567076368,1624092672,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:10:16,1891365760,2883790336,2185736208,2205003776,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:10:46,1500968448,1897187840,1018242032,1302016832,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:11:16,2811549184,3307331072,680709336,923643904,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:11:46,3568361472,2051026384,1167248600,1605218304,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:12:16,775769088,3577163264,825256464,2177740800,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:12:46,2944825344,1551693312,1523608080,1090868432,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:13:16,3153331200,605276160,804767776,1152496144,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:13:46,1419161088,2943857664,653510656,1653715472,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:14:16,1679005696,1544386048,1062455296,983544320,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:14:46,1153088000,2189583872,831068808,738565856,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:15:16,846669824,699693272,708036608,1411751648,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:15:46,2033657856,1836349656,591014400,699147304,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:16:16,3272279544,3388179456,735717888,1399596072,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:16:46,3455146496,1743407616,1427778048,602911232,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:17:16,717072208,599327504,1319774720,1288679936,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:17:46,591643520,2028139304,640297472,1819259392,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:18:16,3229860736,2219375104,925510144,902803968,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:18:46,2785308880,2472512528,1353329152,1376760320,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:19:16,3379053056,696180520,1682582016,1836036608,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:19:46,1845977088,2128113040,775563776,683651584,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:20:16,2927637280,1790464528,1060776448,592274432,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:20:46,3338528896,1398478480,1750739456,1189962752,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:21:16,3548804248,1528465320,1008347648,956130304,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:21:46,796917600,1926924200,1291463168,1228760064,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:22:16,1614806880,2325383080,1641687552,1558012928,5368709120,5368709120,4294967296,4294967296
2026-03-17 20:22:46,3123295496,3734801952,994624000,1690133504,5368709120,5368709120,4294967296,4294967296
