"Time","rskj-miner1"
2026-01-30 08:00:00,-5.37 KiB
2026-01-30 08:04:00,-5.32 KiB
2026-01-30 08:08:00,-5.26 KiB
2026-01-30 08:12:00,-5.26 KiB
2026-01-30 08:16:00,-5.29 KiB
2026-01-30 08:20:00,-5.27 KiB
2026-01-30 08:24:00,-5.26 KiB
2026-01-30 08:28:00,-5.23 KiB
2026-01-30 08:32:00,-5.29 KiB
2026-01-30 08:36:00,-5.35 KiB
2026-01-30 08:40:00,-5.30 KiB
2026-01-30 08:44:00,-5.22 KiB
2026-01-30 08:48:00,-5.14 KiB
2026-01-30 08:52:00,-5.20 KiB
2026-01-30 08:56:00,-5.19 KiB
2026-01-30 09:00:00,-5.12 KiB
2026-01-30 09:04:00,-4.98 KiB
2026-01-30 09:08:00,-5.11 KiB
2026-01-30 09:12:00,-5.13 KiB
2026-01-30 09:16:00,-5.25 KiB
2026-01-30 09:20:00,-5.28 KiB
2026-01-30 09:24:00,-5.39 KiB
2026-01-30 09:28:00,-5.47 KiB
2026-01-30 09:32:00,-5.35 KiB
2026-01-30 09:36:00,-5.43 KiB
2026-01-30 09:40:00,-5.45 KiB
2026-01-30 09:44:00,-5.52 KiB
2026-01-30 09:48:00,-5.55 KiB
2026-01-30 09:52:00,-5.54 KiB
2026-01-30 09:56:00,-5.40 KiB
2026-01-30 10:00:00,-5.40 KiB
2026-01-30 10:04:00,-5.39 KiB
2026-01-30 10:08:00,-5.33 KiB
2026-01-30 10:12:00,-5.28 KiB
2026-01-30 10:16:00,-5.16 KiB
2026-01-30 10:20:00,-5.19 KiB
2026-01-30 10:24:00,-5.12 KiB
2026-01-30 10:28:00,-5.28 KiB
2026-01-30 10:32:00,-5.29 KiB
2026-01-30 10:36:00,-5.20 KiB
2026-01-30 10:40:00,-5.25 KiB
2026-01-30 10:44:00,-5.15 KiB
2026-01-30 10:48:00,-5.25 KiB
2026-01-30 10:52:00,-5.24 KiB
2026-01-30 10:56:00,-5.26 KiB
2026-01-30 11:00:00,-5.23 KiB
2026-01-30 11:04:00,-5.27 KiB
2026-01-30 11:08:00,-5.34 KiB
2026-01-30 11:12:00,-5.20 KiB
2026-01-30 11:16:00,-5.30 KiB
2026-01-30 11:20:00,-5.27 KiB
2026-01-30 11:24:00,-5.30 KiB
2026-01-30 11:28:00,-5.23 KiB
2026-01-30 11:32:00,-5.21 KiB
2026-01-30 11:36:00,-5.09 KiB
2026-01-30 11:40:00,-5.10 KiB
2026-01-30 11:44:00,-5.18 KiB
2026-01-30 11:48:00,-4.96 KiB
2026-01-30 11:52:00,-4.96 KiB
2026-01-30 11:56:00,-5.02 KiB
2026-01-30 12:00:00,-5.16 KiB
2026-01-30 12:04:00,-5.19 KiB
2026-01-30 12:08:00,-5.32 KiB
2026-01-30 12:12:00,-5.29 KiB
2026-01-30 12:16:00,-5.31 KiB
2026-01-30 12:20:00,-5.42 KiB
2026-01-30 12:24:00,-5.29 KiB
2026-01-30 12:28:00,-5.13 KiB
2026-01-30 12:32:00,-5.00 KiB
2026-01-30 12:36:00,-4.98 KiB
2026-01-30 12:40:00,-4.99 KiB
2026-01-30 12:44:00,-4.95 KiB
2026-01-30 12:48:00,-5.02 KiB
2026-01-30 12:52:00,-5.02 KiB
2026-01-30 12:56:00,-5.02 KiB
2026-01-30 13:00:00,-5.07 KiB
2026-01-30 13:04:00,-5.15 KiB
2026-01-30 13:08:00,-5.16 KiB
2026-01-30 13:12:00,-5.23 KiB
2026-01-30 13:16:00,-5.22 KiB
2026-01-30 13:20:00,-5.18 KiB
2026-01-30 13:24:00,-5.21 KiB
2026-01-30 13:28:00,-5.12 KiB
