"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-10 16:22:00,42.9 KiB/s,11.4 KiB/s,11.3 KiB/s,11.3 KiB/s
2026-02-10 16:23:00,42.9 KiB/s,11.4 KiB/s,11.3 KiB/s,11.3 KiB/s
2026-02-10 16:24:00,42.5 KiB/s,11.0 KiB/s,11.0 KiB/s,10.9 KiB/s
2026-02-10 16:25:00,43.3 KiB/s,11.6 KiB/s,11.6 KiB/s,11.5 KiB/s
2026-02-10 16:26:00,41.9 KiB/s,11.6 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 16:27:00,40.9 KiB/s,11.4 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 16:28:00,41.0 KiB/s,11.4 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 16:29:00,41.0 KiB/s,11.5 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 16:30:00,40.3 KiB/s,10.8 KiB/s,10.9 KiB/s,10.8 KiB/s
2026-02-10 16:31:00,44.4 KiB/s,11.2 KiB/s,11.2 KiB/s,11.1 KiB/s
2026-02-10 16:32:00,41.3 KiB/s,11.1 KiB/s,11.1 KiB/s,11.0 KiB/s
2026-02-10 16:33:00,40.9 KiB/s,10.8 KiB/s,10.7 KiB/s,10.7 KiB/s
2026-02-10 16:34:00,41.4 KiB/s,11.2 KiB/s,11.2 KiB/s,11.1 KiB/s
2026-02-10 16:35:00,41.6 KiB/s,11.4 KiB/s,11.3 KiB/s,11.2 KiB/s
2026-02-10 16:36:00,41.8 KiB/s,11.5 KiB/s,11.5 KiB/s,11.3 KiB/s
2026-02-10 16:37:00,43.8 KiB/s,11.2 KiB/s,11.2 KiB/s,11.1 KiB/s
2026-02-10 16:38:00,37.2 KiB/s,11.2 KiB/s,11.2 KiB/s,11.1 KiB/s
2026-02-10 16:39:00,37.6 KiB/s,11.6 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 16:40:00,37.6 KiB/s,11.6 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 16:41:00,37.5 KiB/s,11.5 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 16:42:00,39.2 KiB/s,11.6 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 16:43:00,46.5 KiB/s,12.3 KiB/s,12.2 KiB/s,12.0 KiB/s
2026-02-10 16:44:00,43.1 KiB/s,11.5 KiB/s,11.5 KiB/s,11.3 KiB/s
