"Time","rskj-node1","rskj-miner2","rskj-miner4","rskj-miner1"
2026-02-10 14:46:00,3.78 GiB,3.88 GiB,3.78 GiB,3.79 GiB
2026-02-10 14:47:00,3.78 GiB,3.88 GiB,3.78 GiB,3.80 GiB
2026-02-10 14:48:00,3.78 GiB,3.88 GiB,3.78 GiB,3.71 GiB
2026-02-10 14:49:00,3.78 GiB,3.88 GiB,3.78 GiB,3.71 GiB
2026-02-10 14:50:00,3.78 GiB,3.88 GiB,3.78 GiB,3.71 GiB
2026-02-10 14:51:00,3.78 GiB,3.88 GiB,3.78 GiB,3.71 GiB
2026-02-10 14:52:00,3.78 GiB,3.88 GiB,3.78 GiB,3.71 GiB
2026-02-10 14:53:00,3.78 GiB,3.89 GiB,3.78 GiB,3.71 GiB
2026-02-10 14:54:00,3.78 GiB,3.89 GiB,3.78 GiB,3.72 GiB
2026-02-10 14:55:00,3.78 GiB,3.89 GiB,3.78 GiB,3.73 GiB
2026-02-10 14:56:00,3.78 GiB,3.89 GiB,3.78 GiB,3.74 GiB
2026-02-10 14:57:00,3.78 GiB,3.89 GiB,3.78 GiB,3.75 GiB
2026-02-10 14:58:00,3.78 GiB,3.89 GiB,3.79 GiB,3.75 GiB
2026-02-10 14:59:00,3.78 GiB,3.89 GiB,3.79 GiB,3.76 GiB
2026-02-10 15:00:00,3.78 GiB,3.89 GiB,3.79 GiB,3.77 GiB
2026-02-10 15:01:00,3.78 GiB,3.89 GiB,3.79 GiB,3.78 GiB
2026-02-10 15:02:00,3.78 GiB,3.89 GiB,3.79 GiB,3.78 GiB
2026-02-10 15:03:00,3.78 GiB,3.89 GiB,3.79 GiB,3.79 GiB
2026-02-10 15:04:00,3.78 GiB,3.89 GiB,3.79 GiB,3.80 GiB
2026-02-10 15:05:00,3.78 GiB,3.89 GiB,3.79 GiB,3.81 GiB
2026-02-10 15:06:00,3.80 GiB,3.89 GiB,3.80 GiB,3.74 GiB
2026-02-10 15:07:00,3.80 GiB,3.90 GiB,3.80 GiB,3.74 GiB
2026-02-10 15:08:00,3.80 GiB,3.90 GiB,3.80 GiB,3.75 GiB
2026-02-10 15:09:00,3.80 GiB,3.90 GiB,3.80 GiB,3.76 GiB
2026-02-10 15:10:00,3.80 GiB,3.90 GiB,3.80 GiB,3.76 GiB
2026-02-10 15:11:00,3.80 GiB,3.90 GiB,3.80 GiB,3.77 GiB
2026-02-10 15:12:00,3.80 GiB,3.90 GiB,3.81 GiB,3.78 GiB
2026-02-10 15:13:00,3.80 GiB,3.90 GiB,3.81 GiB,3.79 GiB
2026-02-10 15:14:00,3.80 GiB,3.90 GiB,3.81 GiB,3.80 GiB
2026-02-10 15:15:00,3.80 GiB,3.90 GiB,3.81 GiB,3.80 GiB
2026-02-10 15:16:00,3.80 GiB,3.90 GiB,3.81 GiB,3.81 GiB
2026-02-10 15:17:00,3.80 GiB,3.90 GiB,3.81 GiB,3.82 GiB
2026-02-10 15:18:00,3.80 GiB,3.90 GiB,3.81 GiB,3.83 GiB
2026-02-10 15:19:00,3.80 GiB,3.90 GiB,3.81 GiB,3.74 GiB
2026-02-10 15:20:00,3.80 GiB,3.90 GiB,3.81 GiB,3.74 GiB
2026-02-10 15:21:00,3.80 GiB,3.90 GiB,3.81 GiB,3.75 GiB
2026-02-10 15:22:00,3.80 GiB,3.90 GiB,3.81 GiB,3.76 GiB
2026-02-10 15:23:00,3.80 GiB,3.90 GiB,3.81 GiB,3.77 GiB
2026-02-10 15:24:00,3.80 GiB,3.90 GiB,3.81 GiB,3.77 GiB
2026-02-10 15:25:00,3.80 GiB,3.90 GiB,3.81 GiB,3.78 GiB
2026-02-10 15:26:00,3.80 GiB,3.91 GiB,3.81 GiB,3.79 GiB
2026-02-10 15:27:00,3.80 GiB,3.91 GiB,3.81 GiB,3.79 GiB
2026-02-10 15:28:00,3.80 GiB,3.91 GiB,3.81 GiB,3.80 GiB
2026-02-10 15:29:00,3.80 GiB,3.91 GiB,3.81 GiB,3.81 GiB
