"Time","rskj-miner1:8080 (heap)","rskj-miner2:8080 (heap)","rskj-miner4:8080 (heap)","rskj-node1:8080 (heap)","rskj-miner1:8080-max","rskj-miner2:8080-max","rskj-miner4:8080-max","rskj-node1:8080-max"
2026-02-10 13:05:45,1.15 GiB,2.05 GiB,2.38 GiB,2.75 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:06:00,790 MiB,2.20 GiB,2.54 GiB,2.08 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:06:15,389 MiB,2.42 GiB,2.70 GiB,2.24 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:06:30,897 MiB,2.05 GiB,2.35 GiB,2.62 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:06:45,685 MiB,2.40 GiB,2.65 GiB,2.14 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:07:00,1.09 GiB,2.53 GiB,1.98 GiB,2.25 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:07:15,710 MiB,2.75 GiB,2.17 GiB,2.41 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:07:30,1.14 GiB,2.07 GiB,2.27 GiB,2.52 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:07:45,986 MiB,2.41 GiB,2.59 GiB,2.05 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:08:00,610 MiB,2.62 GiB,2.75 GiB,2.18 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:08:15,1.03 GiB,1.96 GiB,2.10 GiB,2.30 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:08:30,701 MiB,2.12 GiB,2.20 GiB,2.41 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
