"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2","{container_id=""rskj-miner1"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner2"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner3"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner4"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-node1"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-node2"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner1"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner2"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner3"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner4"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-node1"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-node2"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}"
2026-02-03 23:17:30,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 23:18:00,4.08,4.08,4.08,4.08,4.08,4.08,7,7,7,7,7,7,,,,,,
2026-02-03 23:18:30,4.08,4.08,4.08,4.08,4.08,4.08,7,7,7,7,7,7,,,,,,
2026-02-03 23:19:00,4.08,4.08,4.08,4.08,4.08,4.08,7,7,7,7,7,7,,,,,,
2026-02-03 23:19:30,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 23:20:00,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:20:30,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 23:21:00,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:21:30,2.08,2.08,2.08,2.08,2.08,2.08,7,7,7,7,7,7,,,,,,
2026-02-03 23:22:00,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 23:22:30,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 23:23:00,6.36,6.36,6.36,6.36,6.36,6.36,7,7,7,7,7,7,,,,,,
2026-02-03 23:23:30,6.19,6.19,6.19,6.19,6.19,6.19,7,7,7,7,7,7,,,,,,
2026-02-03 23:24:00,6.19,6.19,6.19,6.19,6.19,6.19,7,7,7,7,7,7,,,,,,
2026-02-03 23:24:30,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:25:00,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 23:25:30,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:26:00,2.05,2.05,2.05,2.05,2.05,2.05,7,7,7,7,7,7,,,,,,
2026-02-03 23:26:30,2.08,2.08,2.08,2.08,2.08,2.08,7,7,7,7,7,7,,,,,,
2026-02-03 23:27:00,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 23:27:30,0,0,0,0,0,0,7,7,7,7,7,7,,,,,,
2026-02-03 23:28:00,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 23:28:30,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 23:29:00,6.17,6.17,6.17,6.17,6.17,6.17,7,7,7,7,7,7,,,,,,
2026-02-03 23:29:30,0,0,0,0,0,0,7,7,7,7,7,7,,,,,,
2026-02-03 23:30:00,4.10,4.10,4.10,4.10,4.10,4.10,7,7,7,7,7,7,,,,,,
2026-02-03 23:30:30,6.16,6.16,6.16,6.16,6.16,6.16,7,7,7,7,7,7,,,,,,
2026-02-03 23:31:00,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 23:31:30,6.10,6.10,6.10,6.10,6.10,6.10,7,7,7,7,7,7,,,,,,
2026-02-03 23:32:00,6.17,6.17,6.17,6.17,6.17,6.17,7,7,7,7,7,7,,,,,,
2026-02-03 23:32:30,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:33:00,6.16,6.16,6.16,6.16,6.16,6.16,7,7,7,7,7,7,,,,,,
2026-02-03 23:33:30,2.05,2.05,2.05,2.05,2.05,2.05,7,7,7,7,7,7,,,,,,
2026-02-03 23:34:00,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 23:34:30,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:35:00,6.40,6.40,6.40,6.40,6.40,6.40,7,7,7,7,7,7,,,,,,
2026-02-03 23:35:30,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 23:36:00,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:36:30,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:37:00,6.22,6.22,6.22,6.22,6.22,6.22,7,7,7,7,7,7,,,,,,
2026-02-03 23:37:30,6.22,6.22,6.22,6.22,6.22,6.22,7,7,7,7,7,7,,,,,,
2026-02-03 23:38:00,6.22,6.22,6.22,6.22,6.22,6.22,7,7,7,7,7,7,,,,,,
2026-02-03 23:38:30,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:39:00,2.08,2.08,2.08,2.08,2.08,2.08,7,7,7,7,7,7,,,,,,
2026-02-03 23:39:30,4.08,4.08,4.08,4.08,4.08,4.08,7,7,7,7,7,7,,,,,,
2026-02-03 23:40:00,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:40:30,0,0,0,0,0,0,7,7,7,7,7,7,,,,,,
2026-02-03 23:41:00,4.24,4.24,4.24,4.24,4.24,4.24,7,7,7,7,7,7,,,,,,
2026-02-03 23:41:30,4.24,4.24,4.24,4.24,4.24,4.24,7,7,7,7,7,7,,,,,,
2026-02-03 23:42:00,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:42:30,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:43:00,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:43:30,4.08,4.08,4.08,4.08,4.08,4.08,7,7,7,7,7,7,,,,,,
2026-02-03 23:44:00,4.08,6.07,4.08,4.08,4.08,4.08,7,7,7,7,7,7,,,,,,
2026-02-03 23:44:30,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:45:00,2.08,2.08,2.08,2.08,2.08,2.08,7,7,7,7,7,7,,,,,,
2026-02-03 23:45:30,2.08,2.08,2.08,2.08,2.08,2.08,7,7,7,7,7,7,,,,,,
2026-02-03 23:46:00,6.16,6.16,6.16,6.16,6.16,6.16,7,7,7,7,7,7,,,,,,
2026-02-03 23:46:30,6.16,6.16,6.16,6.16,6.16,6.16,7,7,7,7,7,7,,,,,,
2026-02-03 23:47:00,2.05,2.05,2.05,2.05,2.05,2.05,7,7,7,7,7,7,,,,,,
