"Time","_15m","_5m","_15m"
2026-02-03 23:24:00,4.42,4.78,4.92
2026-02-03 23:25:00,5.14,4.95,4.97
2026-02-03 23:26:00,4.75,4.88,4.95
2026-02-03 23:27:00,5.54,5.09,5.02
2026-02-03 23:28:00,5.31,5.09,5.02
2026-02-03 23:29:00,5.31,5.20,5.06
2026-02-03 23:30:00,4.98,5.11,5.04
2026-02-03 23:31:00,5.11,5.14,5.05
2026-02-03 23:32:00,4.88,5.06,5.03
2026-02-03 23:33:00,5.11,5.10,5.04
2026-02-03 23:34:00,5.04,5.10,5.05
2026-02-03 23:35:00,5.13,5.15,5.07
2026-02-03 23:36:00,4.31,4.94,5
2026-02-03 23:37:00,5.63,5.24,5.10
2026-02-03 23:38:00,7.15,5.75,5.29
2026-02-03 23:39:00,5.50,5.56,5.25
2026-02-03 23:40:00,4.77,5.35,5.19
2026-02-03 23:41:00,4.58,5.18,5.14
2026-02-03 23:42:00,4.67,5.10,5.12
2026-02-03 23:43:00,4.88,5.08,5.11
2026-02-03 23:44:00,5.94,5.26,5.16
2026-02-03 23:45:00,6.35,5.62,5.30
2026-02-03 23:46:00,5.09,5.40,5.24
2026-02-03 23:47:00,5.01,5.31,5.22
2026-02-03 23:48:00,4.62,5.15,5.17
2026-02-03 23:49:00,5.01,5.13,5.16
2026-02-03 23:50:00,4.53,4.97,5.10
2026-02-03 23:51:00,4.22,4.77,5.02
2026-02-03 23:52:00,4.08,4.65,4.96
2026-02-03 23:53:00,4.43,4.67,4.95
2026-02-03 23:54:00,4.32,4.61,4.91
2026-02-03 23:55:00,4.45,4.59,4.89
2026-02-03 23:56:00,4.34,4.53,4.85
2026-02-03 23:57:00,3.97,4.40,4.78
2026-02-03 23:58:00,4.18,4.40,4.76
2026-02-03 23:59:00,4.05,4.30,4.70
2026-02-04 00:00:00,4.12,4.29,4.67
2026-02-04 00:01:00,4.50,4.36,4.67
2026-02-04 00:02:00,4.19,4.30,4.63
2026-02-04 00:03:00,4.53,4.39,4.64
2026-02-04 00:04:00,4.27,4.33,4.60
2026-02-04 00:05:00,4.41,4.37,4.60
2026-02-04 00:06:00,4.45,4.37,4.59
2026-02-04 00:07:00,3.52,4.10,4.48
2026-02-04 00:08:00,3.66,4.05,4.44
2026-02-04 00:09:00,3.85,4.04,4.41
2026-02-04 00:10:00,3.97,4.02,4.38
2026-02-04 00:11:00,4.63,4.21,4.42
2026-02-04 00:12:00,3.84,4.08,4.36
2026-02-04 00:13:00,4.17,4.14,4.36
2026-02-04 00:14:00,4.43,4.22,4.37
2026-02-04 00:15:00,4.29,4.23,4.37
2026-02-04 00:16:00,4.72,4.32,4.39
2026-02-04 00:17:00,4.51,4.34,4.39
2026-02-04 00:18:00,4.33,4.36,4.40
2026-02-04 00:19:00,4.09,4.29,4.37
2026-02-04 00:20:00,4.44,4.34,4.38
2026-02-04 00:21:00,4.16,4.28,4.36
2026-02-04 00:22:00,3.98,4.19,4.32
2026-02-04 00:23:00,4.34,4.26,4.33
2026-02-04 00:24:00,4.15,4.23,4.32
2026-02-04 00:25:00,4.24,4.25,4.32
2026-02-04 00:26:00,4.18,4.24,4.31
2026-02-04 00:27:00,4.21,4.23,4.30
2026-02-04 00:28:00,4.59,4.34,4.34
2026-02-04 00:29:00,4.07,4.22,4.29
2026-02-04 00:30:00,4.42,4.28,4.31
2026-02-04 00:31:00,4.49,4.29,4.30
2026-02-04 00:32:00,4.67,4.39,4.34
2026-02-04 00:33:00,4.34,4.34,4.33
2026-02-04 00:34:00,4.06,4.29,4.31
2026-02-04 00:35:00,4.21,4.30,4.31
2026-02-04 00:36:00,3.99,4.21,4.28
2026-02-04 00:37:00,4.76,4.35,4.32
2026-02-04 00:38:00,4.74,4.50,4.38
2026-02-04 00:39:00,4.53,4.48,4.38
2026-02-04 00:40:00,5.90,4.84,4.51
2026-02-04 00:41:00,10.1,6.52,5.12
2026-02-04 00:42:00,6.05,6,5.03
2026-02-04 00:43:00,4.90,5.68,4.98
2026-02-04 00:44:00,4.64,5.46,4.95
2026-02-04 00:45:00,4.49,5.29,4.93
2026-02-04 00:46:00,3.76,4.94,4.83
2026-02-04 00:47:00,3.80,4.77,4.78
2026-02-04 00:48:00,4.20,4.69,4.75
2026-02-04 00:49:00,4.01,4.52,4.68
2026-02-04 00:50:00,4.26,4.51,4.67
2026-02-04 00:51:00,4.65,4.58,4.68
2026-02-04 00:52:00,4.15,4.46,4.64
2026-02-04 00:53:00,4.32,4.43,4.61
2026-02-04 00:54:00,4.07,4.37,4.59
2026-02-04 00:55:00,4.25,4.36,4.56
2026-02-04 00:56:00,4.56,4.39,4.56
2026-02-04 00:57:00,4.60,4.41,4.56
2026-02-04 00:58:00,4.68,4.50,4.58
2026-02-04 00:59:00,4.75,4.55,4.59
2026-02-04 01:00:00,4.44,4.52,4.58
2026-02-04 01:01:00,4.55,4.54,4.58
2026-02-04 01:02:00,5.02,4.70,4.63
2026-02-04 01:03:00,4.64,4.66,4.62
2026-02-04 01:04:00,4.09,4.49,4.57
2026-02-04 01:05:00,3.93,4.41,4.54
2026-02-04 01:06:00,3.97,4.31,4.49
2026-02-04 01:07:00,4.40,4.37,4.50
2026-02-04 01:08:00,4.23,4.31,4.47
2026-02-04 01:09:00,3.94,4.23,4.43
2026-02-04 01:10:00,3.93,4.17,4.40
2026-02-04 01:11:00,4.14,4.19,4.39
2026-02-04 01:12:00,3.85,4.10,4.34
2026-02-04 01:13:00,4.06,4.14,4.34
2026-02-04 01:14:00,4.15,4.13,4.33
2026-02-04 01:15:00,4.15,4.16,4.33
2026-02-04 01:16:00,4.33,4.18,4.32
2026-02-04 01:17:00,4.18,4.17,4.31
2026-02-04 01:18:00,4.35,4.21,4.31
2026-02-04 01:19:00,4.85,4.37,4.36
2026-02-04 01:20:00,4.46,4.35,4.36
2026-02-04 01:21:00,5.21,4.58,4.43
2026-02-04 01:22:00,4.73,4.56,4.44
2026-02-04 01:23:00,4.73,4.57,4.45
2026-02-04 01:24:00,4.71,4.63,4.48
2026-02-04 01:25:00,4.05,4.46,4.43
2026-02-04 01:26:00,4.30,4.45,4.43
2026-02-04 01:27:00,4,4.33,4.39
2026-02-04 01:28:00,3.94,4.24,4.35
2026-02-04 01:29:00,4.31,4.30,4.37
2026-02-04 01:30:00,4.30,4.32,4.37
2026-02-04 01:31:00,4.18,4.29,4.35
2026-02-04 01:32:00,4.26,4.31,4.36
2026-02-04 01:33:00,3.88,4.20,4.32
2026-02-04 01:34:00,4.04,4.20,4.31
2026-02-04 01:35:00,3.95,4.16,4.29
2026-02-04 01:36:00,4.15,4.18,4.29
2026-02-04 01:37:00,4.30,4.23,4.30
2026-02-04 01:38:00,4.38,4.25,4.30
2026-02-04 01:39:00,4.89,4.38,4.34
2026-02-04 01:40:00,5.53,4.70,4.45
2026-02-04 01:41:00,4.99,4.71,4.47
2026-02-04 01:42:00,4.49,4.62,4.45
2026-02-04 01:43:00,4.39,4.56,4.44
2026-02-04 01:44:00,4.09,4.46,4.42
2026-02-04 01:45:00,4.76,4.60,4.47
2026-02-04 01:46:00,4.87,4.67,4.51
2026-02-04 01:47:00,4.64,4.64,4.51
2026-02-04 01:48:00,4.33,4.58,4.49
2026-02-04 01:49:00,4.48,4.59,4.50
2026-02-04 01:50:00,4.62,4.59,4.51
2026-02-04 01:51:00,4.64,4.59,4.51
2026-02-04 01:52:00,4.14,4.45,4.47
2026-02-04 01:53:00,3.96,4.35,4.43
2026-02-04 01:54:00,4.18,4.35,4.43
2026-02-04 01:55:00,4.43,4.41,4.45
2026-02-04 01:56:00,5.77,4.76,4.56
2026-02-04 01:57:00,4.73,4.64,4.53
2026-02-04 01:58:00,4.12,4.48,4.48
2026-02-04 01:59:00,4.36,4.48,4.48
