"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-10 14:57:00,35.9 KiB/s,4.00 KiB/s,3.96 KiB/s,3.97 KiB/s
2026-02-10 14:58:00,39.5 KiB/s,3.12 KiB/s,3.09 KiB/s,3.08 KiB/s
2026-02-10 14:59:00,35.3 KiB/s,3.13 KiB/s,3.10 KiB/s,3.11 KiB/s
2026-02-10 15:00:00,35.4 KiB/s,3.90 KiB/s,3.86 KiB/s,3.86 KiB/s
2026-02-10 15:01:00,35.3 KiB/s,3.15 KiB/s,3.10 KiB/s,3.12 KiB/s
2026-02-10 15:02:00,35.1 KiB/s,2.36 KiB/s,2.32 KiB/s,2.34 KiB/s
2026-02-10 15:03:00,37.3 KiB/s,3.19 KiB/s,3.17 KiB/s,3.17 KiB/s
2026-02-10 15:04:00,39.6 KiB/s,3.24 KiB/s,3.22 KiB/s,3.21 KiB/s
2026-02-10 15:05:00,39.6 KiB/s,3.13 KiB/s,3.12 KiB/s,3.10 KiB/s
2026-02-10 15:06:00,39.8 KiB/s,4.14 KiB/s,4.16 KiB/s,4.12 KiB/s
2026-02-10 15:07:00,39.8 KiB/s,4.13 KiB/s,4.15 KiB/s,4.11 KiB/s
2026-02-10 15:08:00,39.6 KiB/s,3.31 KiB/s,3.33 KiB/s,3.30 KiB/s
2026-02-10 15:09:00,39.9 KiB/s,3.92 KiB/s,3.94 KiB/s,3.91 KiB/s
2026-02-10 15:10:00,36.2 KiB/s,3.44 KiB/s,3.47 KiB/s,3.44 KiB/s
2026-02-10 15:11:00,35.9 KiB/s,2.43 KiB/s,2.44 KiB/s,2.43 KiB/s
2026-02-10 15:12:00,35.9 KiB/s,2.41 KiB/s,2.43 KiB/s,2.41 KiB/s
2026-02-10 15:13:00,36.1 KiB/s,3.10 KiB/s,3.11 KiB/s,3.11 KiB/s
2026-02-10 15:14:00,37.7 KiB/s,2.43 KiB/s,2.42 KiB/s,2.44 KiB/s
2026-02-10 15:15:00,38.3 KiB/s,2.44 KiB/s,2.44 KiB/s,2.45 KiB/s
2026-02-10 15:16:00,38.5 KiB/s,3.05 KiB/s,3.04 KiB/s,3.04 KiB/s
2026-02-10 15:17:00,38.7 KiB/s,3.68 KiB/s,3.67 KiB/s,3.69 KiB/s
2026-02-10 15:18:00,38.6 KiB/s,3.21 KiB/s,3.20 KiB/s,3.20 KiB/s
2026-02-10 15:19:00,38.6 KiB/s,3.53 KiB/s,3.52 KiB/s,3.52 KiB/s
2026-02-10 15:20:00,40.5 KiB/s,3.52 KiB/s,3.51 KiB/s,3.50 KiB/s
2026-02-10 15:21:00,36.1 KiB/s,2.99 KiB/s,2.97 KiB/s,2.97 KiB/s
2026-02-10 15:22:00,35.9 KiB/s,2.36 KiB/s,2.32 KiB/s,2.32 KiB/s
2026-02-10 15:23:00,35.9 KiB/s,2.24 KiB/s,2.20 KiB/s,2.22 KiB/s
2026-02-10 15:24:00,35.9 KiB/s,2.59 KiB/s,2.55 KiB/s,2.57 KiB/s
2026-02-10 15:25:00,37.2 KiB/s,2.45 KiB/s,2.42 KiB/s,2.44 KiB/s
2026-02-10 15:26:00,37.9 KiB/s,2.98 KiB/s,2.97 KiB/s,2.99 KiB/s
2026-02-10 15:27:00,32.4 KiB/s,3.00 KiB/s,3.00 KiB/s,3.01 KiB/s
2026-02-10 15:28:00,32.4 KiB/s,2.88 KiB/s,2.89 KiB/s,2.89 KiB/s
2026-02-10 15:29:00,32.4 KiB/s,2.72 KiB/s,2.73 KiB/s,2.72 KiB/s
2026-02-10 15:30:00,32.3 KiB/s,2.77 KiB/s,2.77 KiB/s,2.77 KiB/s
2026-02-10 15:31:00,35.9 KiB/s,2.30 KiB/s,2.29 KiB/s,2.28 KiB/s
2026-02-10 15:32:00,39.0 KiB/s,2.91 KiB/s,2.90 KiB/s,2.89 KiB/s
2026-02-10 15:33:00,31.2 KiB/s,2.92 KiB/s,2.89 KiB/s,2.90 KiB/s
2026-02-10 15:34:00,23.2 KiB/s,2.40 KiB/s,2.37 KiB/s,2.38 KiB/s
2026-02-10 15:35:00,15.3 KiB/s,2.23 KiB/s,2.20 KiB/s,2.20 KiB/s
2026-02-10 15:36:00,9.83 KiB/s,2.76 KiB/s,2.73 KiB/s,2.74 KiB/s
2026-02-10 15:37:00,12.2 KiB/s,2.31 KiB/s,2.28 KiB/s,2.29 KiB/s
2026-02-10 15:38:00,20.0 KiB/s,2.33 KiB/s,2.30 KiB/s,2.30 KiB/s
2026-02-10 15:39:00,27.9 KiB/s,2.35 KiB/s,2.32 KiB/s,2.32 KiB/s
2026-02-10 15:40:00,35.9 KiB/s,3.16 KiB/s,3.14 KiB/s,3.14 KiB/s
2026-02-10 15:41:00,39.0 KiB/s,2.49 KiB/s,2.47 KiB/s,2.47 KiB/s
2026-02-10 15:42:00,35.8 KiB/s,2.34 KiB/s,2.33 KiB/s,2.32 KiB/s
2026-02-10 15:43:00,36.0 KiB/s,3.11 KiB/s,3.11 KiB/s,3.11 KiB/s
2026-02-10 15:44:00,36.0 KiB/s,3.21 KiB/s,3.21 KiB/s,3.22 KiB/s
2026-02-10 15:45:00,36.0 KiB/s,3.03 KiB/s,3.02 KiB/s,3.03 KiB/s
2026-02-10 15:46:00,38.3 KiB/s,3.01 KiB/s,3.01 KiB/s,3.02 KiB/s
2026-02-10 15:47:00,39.1 KiB/s,3.73 KiB/s,3.73 KiB/s,3.75 KiB/s
2026-02-10 15:48:00,38.9 KiB/s,2.98 KiB/s,2.98 KiB/s,2.99 KiB/s
2026-02-10 15:49:00,38.9 KiB/s,2.87 KiB/s,2.88 KiB/s,2.88 KiB/s
2026-02-10 15:50:00,38.9 KiB/s,2.98 KiB/s,2.97 KiB/s,3.00 KiB/s
2026-02-10 15:51:00,38.9 KiB/s,2.99 KiB/s,2.98 KiB/s,3.01 KiB/s
2026-02-10 15:52:00,39.3 KiB/s,2.33 KiB/s,2.30 KiB/s,2.33 KiB/s
2026-02-10 15:53:00,38.2 KiB/s,2.33 KiB/s,2.30 KiB/s,2.33 KiB/s
2026-02-10 15:54:00,38.4 KiB/s,3.09 KiB/s,3.08 KiB/s,3.11 KiB/s
2026-02-10 15:55:00,38.4 KiB/s,3.04 KiB/s,3.05 KiB/s,3.06 KiB/s
2026-02-10 15:56:00,38.4 KiB/s,3.13 KiB/s,3.14 KiB/s,3.15 KiB/s
2026-02-10 15:57:00,40.6 KiB/s,3.57 KiB/s,3.58 KiB/s,3.61 KiB/s
2026-02-10 15:58:00,36.8 KiB/s,4.04 KiB/s,4.07 KiB/s,4.09 KiB/s
2026-02-10 15:59:00,36.6 KiB/s,3.27 KiB/s,3.28 KiB/s,3.29 KiB/s
2026-02-10 16:00:00,36.6 KiB/s,3.16 KiB/s,3.16 KiB/s,3.18 KiB/s
2026-02-10 16:01:00,36.6 KiB/s,3.09 KiB/s,3.09 KiB/s,3.09 KiB/s
2026-02-10 16:02:00,36.6 KiB/s,3.44 KiB/s,3.46 KiB/s,3.45 KiB/s
2026-02-10 16:03:00,39.5 KiB/s,2.93 KiB/s,2.94 KiB/s,2.93 KiB/s
2026-02-10 16:04:00,35.7 KiB/s,2.95 KiB/s,2.96 KiB/s,2.96 KiB/s
2026-02-10 16:05:00,35.6 KiB/s,2.37 KiB/s,2.37 KiB/s,2.37 KiB/s
2026-02-10 16:06:00,35.6 KiB/s,2.63 KiB/s,2.63 KiB/s,2.62 KiB/s
2026-02-10 16:07:00,35.7 KiB/s,2.26 KiB/s,2.23 KiB/s,2.25 KiB/s
2026-02-10 16:08:00,37.6 KiB/s,2.67 KiB/s,2.64 KiB/s,2.65 KiB/s
2026-02-10 16:09:00,37.3 KiB/s,2.65 KiB/s,2.62 KiB/s,2.63 KiB/s
2026-02-10 16:10:00,35.0 KiB/s,3.20 KiB/s,3.18 KiB/s,3.16 KiB/s
2026-02-10 16:11:00,34.9 KiB/s,3.02 KiB/s,3.00 KiB/s,3.02 KiB/s
2026-02-10 16:12:00,34.9 KiB/s,2.71 KiB/s,2.69 KiB/s,2.68 KiB/s
2026-02-10 16:13:00,34.9 KiB/s,2.72 KiB/s,2.70 KiB/s,2.67 KiB/s
2026-02-10 16:14:00,39.0 KiB/s,2.89 KiB/s,2.88 KiB/s,2.86 KiB/s
2026-02-10 16:15:00,35.9 KiB/s,2.46 KiB/s,2.45 KiB/s,2.44 KiB/s
2026-02-10 16:16:00,35.5 KiB/s,2.45 KiB/s,2.46 KiB/s,2.43 KiB/s
2026-02-10 16:17:00,35.5 KiB/s,2.26 KiB/s,2.28 KiB/s,2.25 KiB/s
2026-02-10 16:18:00,35.5 KiB/s,2.18 KiB/s,2.19 KiB/s,2.17 KiB/s
