Time,"__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-miner1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-miner2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-node1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-node2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail"""
2026-03-18 14:04:46,,,0.923241,0.968259
2026-03-18 14:05:16,0.014147,0.011425,0.008019,0.008675
2026-03-18 14:05:46,0.005661,0.00677,0.00293,0.005639
2026-03-18 14:06:46,,,0.962658,0.945009
2026-03-18 14:07:16,0.748047,,0.967661,0.951877
2026-03-18 14:07:46,0.748047,,0.967661,0.951877
2026-03-18 14:08:16,,,0.880186,0.912143
2026-03-18 14:08:46,,,0.880186,0.912143
2026-03-18 14:09:46,,,0.840754,0.902048
2026-03-18 14:10:16,,0.000295,0.000235,0.000165
2026-03-18 14:10:46,0.873845,0.88275,0.889343,0.869991
2026-03-18 14:11:16,,,0.873893,0.890422
2026-03-18 14:11:46,,0.831203,0.936349,0.888631
2026-03-18 14:12:16,,,0.846036,0.834075
2026-03-18 14:12:46,,,0.860909,
2026-03-18 14:13:16,,,0.782803,0.769062
2026-03-18 14:13:46,,,0.838815,0.83629
2026-03-18 14:14:16,,,0.838815,0.83629
2026-03-18 14:14:46,,,0.826926,0.811784
2026-03-18 14:15:16,,,0.91989,0.884009
2026-03-18 14:15:46,,,0.848437,0.858364
2026-03-18 14:16:16,,,,0.987057
2026-03-18 14:16:46,0.752259,0.823009,0.842544,0.834087
2026-03-18 14:17:16,0.863471,,0.829896,0.812676
2026-03-18 14:17:46,0.863471,,0.829896,0.812676
2026-03-18 14:18:16,0.87276,0.910158,0.879308,0.829838
2026-03-18 14:18:46,0.990063,0.844875,0.854493,0.883861
2026-03-18 14:19:16,,,0.887312,0.885694
2026-03-18 14:19:46,0.84292,0.764732,0.840461,0.824871
2026-03-18 14:20:16,,,0.826614,0.80608
2026-03-18 14:20:46,,,0.826614,0.80608
2026-03-18 14:21:16,,,0.850981,0.898037
2026-03-18 14:21:46,0.7459,0.910841,0.974965,0.910687
2026-03-18 14:22:46,,,0.898896,
2026-03-18 14:23:46,0.933886,,,0.930909
2026-03-18 14:24:16,,0.000066,0.000592,0.000051
2026-03-18 14:25:16,,,0.964582,0.933021
2026-03-18 14:25:46,,,0.902514,0.863459
2026-03-18 14:26:16,,,0.89358,0.896
2026-03-18 14:26:46,,,0.932412,0.959326
2026-03-18 14:27:16,,0.750321,0.787662,0.808371
2026-03-18 14:27:46,,,0.85537,0.955979
2026-03-18 14:28:16,,,,0.987392
2026-03-18 14:31:16,0.000027,,0.000025,0.665497
2026-03-18 14:31:46,0.006674,,0.005213,0.005819
2026-03-18 14:33:46,0.000027,0.978727,,
2026-03-18 14:34:16,0.006658,0.007433,0.004771,0.004709
2026-03-18 14:34:46,0.976303,0.892902,,0.895642
2026-03-18 14:35:16,0.000052,0.961501,0.479267,0.000036
2026-03-18 14:35:46,,,0.903344,0.941535
2026-03-18 14:37:16,,,0.924372,0.884923
2026-03-18 14:37:46,0.876193,0.867718,0.004459,0.004923
2026-03-18 14:38:16,0.876193,0.867718,0.004459,0.004923
2026-03-18 14:38:46,,,0.857032,0.84904
2026-03-18 14:39:16,,,0.000064,0.000901
2026-03-18 14:39:46,,0.931274,0.972431,0.939208
2026-03-18 14:40:16,,,0.973446,
2026-03-18 14:40:46,,,0.973446,
2026-03-18 14:41:46,,,0.937832,0.948841
2026-03-18 14:42:46,,,0.864923,0.848092
2026-03-18 14:43:46,0.756684,0.853332,0.844757,0.823655
2026-03-18 14:44:16,,,0.932215,0.883304
2026-03-18 14:44:46,,,0.806668,0.971596
2026-03-18 14:45:16,,,0.924663,0.950845
2026-03-18 14:45:46,,,,0.892221
2026-03-18 14:46:16,,,0.877526,0.862558
2026-03-18 14:46:46,0.778075,0.779168,0.804131,0.755952
2026-03-18 14:47:16,0.01455,0.010302,0.005898,0.007729
2026-03-18 14:47:46,0.013573,0.009074,0.005604,0.005422
2026-03-18 14:48:16,0.918643,0.809067,0.821121,0.830081
2026-03-18 14:48:46,,,0.876132,0.848826
2026-03-18 14:49:16,,,0.897271,0.844395
2026-03-18 14:49:46,,,0.935555,0.894678
2026-03-18 14:50:16,,,0.857806,0.905696
2026-03-18 14:50:46,,,0.857806,0.905696
2026-03-18 14:51:16,,,0.887314,0.864562
2026-03-18 14:51:46,,,,0.923188
2026-03-18 14:52:16,0.750741,0.89451,0.887456,0.909727
2026-03-18 14:52:46,,,,0.958379
2026-03-18 14:53:16,,,,0.958379
2026-03-18 14:53:46,,,0.916544,0.912066
2026-03-18 14:54:46,,,0.963896,0.93481
2026-03-18 14:55:16,,,0.875332,0.806722
