"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-03 13:16:00,15.2%,17.9%,8.59%,16.4%,15.0%,9.66%
2026-02-03 13:17:00,5.97%,10.3%,7.32%,8.81%,11.0%,12.0%
2026-02-03 13:18:00,10.3%,13.0%,14.9%,16.3%,9.54%,14.9%
2026-02-03 13:19:00,6.59%,5.54%,11.1%,7.64%,10.4%,6.47%
2026-02-03 13:20:00,6.12%,11.3%,5.59%,12.9%,10.7%,6.14%
2026-02-03 13:21:00,12.0%,11.0%,10.4%,17.1%,4.69%,15.6%
2026-02-03 13:22:00,11.1%,9.29%,17.9%,10.5%,14.8%,10.2%
2026-02-03 13:23:00,10.3%,14.7%,11.5%,15.1%,10.6%,11.5%
2026-02-03 13:24:00,12.2%,15.0%,13.2%,12.1%,9.83%,10.2%
2026-02-03 13:25:00,18.3%,12.1%,13.3%,11.1%,13.0%,10.2%
2026-02-03 13:26:00,9.85%,13.4%,9.53%,12.9%,10.5%,10.7%
2026-02-03 13:27:00,9.41%,9.59%,5.78%,10.8%,7.14%,14.0%
2026-02-03 13:28:00,12.2%,16.6%,8.25%,17.6%,16.1%,15.3%
2026-02-03 13:29:00,9.64%,19.0%,17.2%,10.5%,8.83%,5.27%
2026-02-03 13:30:00,11.1%,16.5%,11.7%,17.0%,14.3%,15.0%
2026-02-03 13:31:00,29.5%,23.6%,27.2%,24.7%,28.6%,23.7%
2026-02-03 13:32:00,10.0%,13.5%,5.47%,9.93%,13.0%,10.2%
2026-02-03 13:33:00,6.25%,1.10%,4.66%,8.08%,7.83%,10.3%
2026-02-03 13:34:00,13.2%,9.34%,12.2%,10.1%,15.8%,13.2%
2026-02-03 13:35:00,6.78%,9.61%,5.83%,12.9%,6.37%,5.98%
2026-02-03 13:36:00,9.46%,10.9%,11.8%,12.7%,10.7%,10.9%
2026-02-03 13:37:00,5.22%,10.00%,9.51%,12.8%,11.3%,11.4%
2026-02-03 13:38:00,17.5%,10.1%,11.0%,6.86%,14.1%,7.71%
2026-02-03 13:39:00,20.8%,14.7%,17.9%,28.0%,18.5%,20.4%
2026-02-03 13:40:00,6.83%,8.19%,16.9%,8.54%,12.3%,13.2%
2026-02-03 13:41:00,15.5%,18.7%,10.7%,12.6%,14.0%,12.0%
2026-02-03 13:42:00,11.3%,16.1%,10.1%,11.9%,10.5%,11.7%
2026-02-03 13:43:00,9.25%,12.5%,13.6%,11.4%,8.07%,13.6%
2026-02-03 13:44:00,4.71%,7.98%,10.3%,11.6%,4.80%,12.2%
2026-02-03 13:45:00,13.7%,4.49%,8.80%,11.4%,8.85%,11.6%
2026-02-03 13:46:00,15.3%,12.7%,8.36%,11.1%,11.4%,11.9%
2026-02-03 13:47:00,14.0%,5.03%,9.97%,11.0%,8.63%,12.5%
2026-02-03 13:48:00,24.1%,20.8%,20.8%,18.7%,16.9%,16.3%
2026-02-03 13:49:00,18.2%,15.1%,13.1%,17.1%,11.5%,21.5%
2026-02-03 13:50:00,9.53%,13.3%,10.6%,11.2%,8.61%,11.7%
2026-02-03 13:51:00,12.9%,11.6%,11.9%,11.5%,5.56%,12.8%
2026-02-03 13:52:00,11.8%,8.39%,10.2%,11.1%,8.64%,12.2%
2026-02-03 13:53:00,9.05%,8.07%,9.98%,11.6%,4.63%,11.8%
2026-02-03 13:54:00,16.9%,18.3%,18.6%,24.5%,17.4%,19.7%
2026-02-03 13:55:00,16.8%,18.5%,90.2%,23.3%,12.8%,15.2%
2026-02-03 13:56:00,16.0%,13.3%,10.6%,11.9%,10.4%,12.4%
2026-02-03 13:57:00,9.88%,4.58%,11.4%,12.1%,10.3%,12.5%
2026-02-03 13:58:00,10.2%,8.58%,11.9%,12.4%,10.7%,13.1%
2026-02-03 13:59:00,14.2%,15%,17.7%,14.1%,10.9%,18.1%
2026-02-03 14:00:00,46.2%,11.8%,25.5%,35.1%,21.1%,21.9%
2026-02-03 14:01:00,9.53%,9.00%,15.7%,13.1%,10.6%,12.0%
2026-02-03 14:02:00,14.0%,14.5%,27.2%,20.8%,24.7%,16.6%
2026-02-03 14:03:00,18.7%,18.7%,21.4%,20.8%,15.1%,15.6%
2026-02-03 14:04:00,19.0%,11.1%,10.8%,14.2%,12.1%,13.3%
2026-02-03 14:05:00,28.5%,17.0%,13.7%,17.7%,14.9%,12.2%
2026-02-03 14:06:00,14.5%,20.8%,11.7%,13.3%,11.3%,14.5%
2026-02-03 14:07:00,13.1%,7.07%,13.3%,14.8%,14.2%,16.3%
2026-02-03 14:08:00,31.6%,18.1%,23.9%,26.5%,22.0%,24.2%
2026-02-03 14:09:00,17.3%,13.9%,12.7%,15.4%,12.0%,14.1%
2026-02-03 14:10:00,17.7%,5.36%,12.8%,14.6%,19.3%,14.0%
2026-02-03 14:11:00,113%,16.3%,24.0%,14.3%,12.4%,14.2%
2026-02-03 14:12:00,12.4%,19.4%,11.3%,16.9%,11.9%,13.9%
2026-02-03 14:13:00,6.14%,5.63%,12.0%,10.1%,12.1%,13.6%
2026-02-03 14:14:00,53.4%,10.8%,69.3%,46.6%,166%,52.6%
