"Time","rskj-miner1:8080 (heap)","rskj-miner2:8080 (heap)","rskj-miner3:8080 (heap)","rskj-miner4:8080 (heap)","rskj-node1:8080 (heap)","rskj-node2:8080 (heap)","rskj-miner1:8080-max","rskj-miner2:8080-max","rskj-miner3:8080-max","rskj-miner4:8080-max","rskj-node1:8080-max","rskj-node2:8080-max"
2026-02-11 09:06:40,1.86 GiB,1.62 GiB,1.74 GiB,1.94 GiB,1.41 GiB,1.56 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:07:00,2.13 GiB,1.32 GiB,1.42 GiB,1.61 GiB,1.84 GiB,1.92 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:07:20,1.51 GiB,1.62 GiB,1.70 GiB,1.90 GiB,2.05 GiB,1.34 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:07:40,1.44 GiB,1.81 GiB,1.85 GiB,2.04 GiB,1.40 GiB,1.53 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:08:00,1.70 GiB,1.41 GiB,1.46 GiB,1.61 GiB,1.78 GiB,1.85 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:08:20,1.74 GiB,1.76 GiB,1.78 GiB,1.92 GiB,2.03 GiB,1.30 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:08:40,1.86 GiB,1.41 GiB,1.39 GiB,1.53 GiB,1.57 GiB,1.68 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:09:00,2.15 GiB,1.27 GiB,2.05 GiB,1.38 GiB,1.39 GiB,1.43 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:09:20,2.09 GiB,1.47 GiB,1.40 GiB,1.53 GiB,1.54 GiB,1.58 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:09:40,1.97 GiB,1.71 GiB,1.64 GiB,1.77 GiB,1.73 GiB,1.81 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:10:00,1.66 GiB,1.40 GiB,2.08 GiB,1.42 GiB,2.12 GiB,1.36 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:10:20,2.18 GiB,1.65 GiB,1.49 GiB,1.61 GiB,1.50 GiB,1.54 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:10:40,2.17 GiB,1.88 GiB,1.71 GiB,1.84 GiB,1.70 GiB,1.78 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:11:00,1.65 GiB,1.52 GiB,2.13 GiB,1.46 GiB,2.11 GiB,1.32 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:11:20,1.63 GiB,1.66 GiB,1.48 GiB,1.60 GiB,1.46 GiB,1.46 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:11:40,1.60 GiB,1.85 GiB,1.62 GiB,1.75 GiB,1.60 GiB,1.65 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
