"Time","rskj-miner1","rskj-miner2","rskj-node2","rskj-miner4","rskj-miner3","rskj-node1"
2026-02-11 06:10:00,3.60 GiB,3.26 GiB,3.43 GiB,3.22 GiB,3.33 GiB,3.17 GiB
2026-02-11 06:20:00,3.57 GiB,3.24 GiB,3.47 GiB,3.16 GiB,3.29 GiB,3.17 GiB
2026-02-11 06:30:00,3.62 GiB,3.22 GiB,3.33 GiB,3.18 GiB,3.18 GiB,3.19 GiB
2026-02-11 06:40:00,3.51 GiB,3.24 GiB,3.18 GiB,3.21 GiB,3.20 GiB,3.21 GiB
2026-02-11 06:50:00,3.24 GiB,3.29 GiB,3.18 GiB,3.22 GiB,3.22 GiB,3.23 GiB
2026-02-11 07:00:00,3.04 GiB,3.31 GiB,3.16 GiB,3.24 GiB,3.22 GiB,3.24 GiB
2026-02-11 07:10:00,2.89 GiB,3.00 GiB,3.09 GiB,3.48 GiB,3.40 GiB,3.48 GiB
2026-02-11 07:20:00,3.23 GiB,2.78 GiB,3.11 GiB,3.45 GiB,3.43 GiB,3.38 GiB
2026-02-11 07:30:00,3.22 GiB,2.78 GiB,3.11 GiB,3.42 GiB,3.39 GiB,3.35 GiB
2026-02-11 07:40:00,3.31 GiB,3.33 GiB,3.18 GiB,3.21 GiB,3.35 GiB,3.10 GiB
2026-02-11 07:50:00,3.30 GiB,3.36 GiB,3.04 GiB,3.22 GiB,3.36 GiB,3.11 GiB
2026-02-11 08:00:00,3.27 GiB,3.37 GiB,3.09 GiB,3.19 GiB,3.32 GiB,3.12 GiB
2026-02-11 08:10:00,3.43 GiB,3.22 GiB,3.10 GiB,3.07 GiB,3.17 GiB,2.95 GiB
2026-02-11 08:20:00,3.43 GiB,3.24 GiB,3.11 GiB,3.07 GiB,3.18 GiB,2.99 GiB
2026-02-11 08:30:00,3.39 GiB,3.21 GiB,3.11 GiB,3.04 GiB,3.16 GiB,3.00 GiB
2026-02-11 08:40:00,3.32 GiB,3.20 GiB,3.13 GiB,3.04 GiB,3.02 GiB,3.02 GiB
2026-02-11 08:50:00,3.37 GiB,3.13 GiB,3.14 GiB,3.04 GiB,2.92 GiB,3.04 GiB
2026-02-11 09:00:00,3.17 GiB,3.19 GiB,3.20 GiB,3.00 GiB,2.94 GiB,3.06 GiB
2026-02-11 09:10:00,3.21 GiB,3.23 GiB,3.21 GiB,2.94 GiB,2.97 GiB,3.07 GiB
2026-02-11 09:20:00,3.31 GiB,3.58 GiB,3.70 GiB,2.87 GiB,2.99 GiB,3.09 GiB
2026-02-11 09:30:00,3.30 GiB,3.60 GiB,3.70 GiB,2.90 GiB,3.01 GiB,3.11 GiB
2026-02-11 09:40:00,3.30 GiB,3.64 GiB,3.71 GiB,2.92 GiB,3.04 GiB,3.13 GiB
2026-02-11 09:50:00,3.32 GiB,3.66 GiB,3.60 GiB,3.14 GiB,3.17 GiB,3.18 GiB
2026-02-11 10:00:00,3.37 GiB,3.56 GiB,3.55 GiB,3.15 GiB,3.15 GiB,3.17 GiB
2026-02-11 10:10:00,3.34 GiB,3.42 GiB,3.49 GiB,3.17 GiB,3.16 GiB,3.17 GiB
2026-02-11 10:20:00,3.29 GiB,3.39 GiB,3.37 GiB,3.19 GiB,3.15 GiB,3.18 GiB
2026-02-11 10:30:00,3.20 GiB,3.41 GiB,3.24 GiB,3.21 GiB,3.10 GiB,3.20 GiB
