"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-10 21:24:00,69.3%,46.8%,38.4%,67.0%,42.9%,40.0%
2026-02-10 21:28:00,99.6%,48.3%,27.8%,38.4%,30.8%,30.2%
2026-02-10 21:32:00,58.8%,35.0%,39.6%,28.5%,50.6%,28.8%
2026-02-10 21:36:00,15.8%,17.0%,20.7%,18.5%,13.0%,13.8%
2026-02-10 21:40:00,60.6%,30.1%,23.8%,39.6%,41.4%,31.8%
2026-02-10 21:44:00,46.5%,10.2%,13.2%,20.5%,13.4%,16.2%
2026-02-10 21:48:00,30.9%,74.6%,27.5%,23.8%,18.6%,76.6%
2026-02-10 21:52:00,45.3%,13.7%,12.7%,18.6%,12.4%,16.4%
2026-02-10 21:56:00,48.9%,14.9%,15.1%,24.8%,15.1%,15.4%
2026-02-10 22:00:00,44.2%,21.3%,21.2%,17.5%,17.4%,27.4%
2026-02-10 22:04:00,26.4%,23.6%,24.6%,31.6%,22.3%,29.0%
2026-02-10 22:08:00,53.9%,10.00%,21.7%,12.7%,15.2%,14.2%
2026-02-10 22:12:00,82.0%,39.2%,32.7%,13.1%,25.5%,21.7%
2026-02-10 22:16:00,41.1%,18.0%,22.4%,14.6%,32.2%,18.6%
2026-02-10 22:20:00,55.2%,17.8%,33.8%,28.6%,19.1%,23.3%
2026-02-10 22:24:00,56.3%,45.5%,38.6%,19.9%,31.0%,19.9%
2026-02-10 22:28:00,48.8%,32.3%,39.5%,31.2%,34.0%,28.8%
2026-02-10 22:32:00,57.0%,22.7%,19.8%,23.1%,23.1%,23.6%
2026-02-10 22:36:00,53.1%,19.0%,10.6%,20.0%,12.9%,15.3%
2026-02-10 22:40:00,62.9%,38.4%,14.6%,31.1%,27.6%,19.7%
2026-02-10 22:44:00,41.2%,28.1%,28.4%,32.3%,40.2%,27.3%
2026-02-10 22:48:00,66.3%,33.1%,35.5%,15.4%,40.2%,44.2%
2026-02-10 22:52:00,46.8%,25.3%,18.8%,22.0%,19.6%,13.7%
2026-02-10 22:56:00,37.9%,12.1%,14.2%,10.4%,13.7%,13.5%
2026-02-10 23:00:00,60.2%,20.0%,37.7%,34.3%,35.8%,27.9%
2026-02-10 23:04:00,45.1%,18.5%,13.6%,13.4%,9.78%,21.0%
2026-02-10 23:08:00,57.2%,21.6%,15.4%,23.6%,20.1%,18.5%
2026-02-10 23:12:00,45.2%,23.6%,14.7%,20.6%,18.3%,22.2%
2026-02-10 23:16:00,53.2%,46.3%,35.7%,55.1%,32.5%,31.1%
2026-02-10 23:20:00,61.9%,21.3%,11.1%,19.6%,16.8%,19.1%
2026-02-10 23:24:00,33.2%,16.8%,15.2%,13.7%,19.0%,15.8%
2026-02-10 23:28:00,35.4%,30.1%,27.9%,26.5%,27.0%,26.5%
2026-02-10 23:32:00,51.8%,11.4%,7.51%,13.3%,10.7%,14.9%
2026-02-10 23:36:00,44.9%,37.2%,18.1%,22.8%,18.0%,17.9%
2026-02-10 23:40:00,54.4%,37.9%,34.1%,37.2%,35.1%,36.9%
2026-02-10 23:44:00,35.9%,15.7%,16.7%,19.8%,26.0%,15.4%
2026-02-10 23:48:00,38.9%,27.4%,34.7%,24.8%,19.5%,23.5%
2026-02-10 23:52:00,29.5%,20.9%,13.4%,11.0%,12.5%,10.4%
2026-02-10 23:56:00,129%,19.9%,16.0%,17.6%,11.3%,20.7%
2026-02-11 00:00:00,56.7%,13.0%,14.0%,10.7%,12.5%,17.4%
2026-02-11 00:04:00,48%,25.4%,23.3%,26.1%,26.4%,20.4%
2026-02-11 00:08:00,41.7%,15.1%,23.3%,22.4%,19.6%,20%
2026-02-11 00:12:00,45.8%,26.7%,31.6%,30.1%,26.1%,24.0%
2026-02-11 00:16:00,59.9%,35.7%,24.5%,19.1%,30.2%,33.1%
2026-02-11 00:20:00,44.5%,16.0%,35.9%,47.1%,14.8%,41.4%
2026-02-11 00:24:00,57.4%,44.6%,12.0%,18.6%,15.4%,18.4%
2026-02-11 00:28:00,34.9%,20.4%,21.5%,19.4%,22.8%,27.2%
2026-02-11 00:32:00,46.5%,18.8%,17.1%,18.1%,16.8%,22.0%
2026-02-11 00:36:00,35.5%,20.1%,17.7%,26.8%,24.0%,20.3%
2026-02-11 00:40:00,37.1%,9.14%,15.4%,17.2%,12.1%,17.9%
2026-02-11 00:44:00,44.0%,8.96%,15.3%,29.9%,13.8%,11.8%
2026-02-11 00:48:00,15.7%,16.2%,25.2%,18.6%,17.2%,15.7%
2026-02-11 00:52:00,48.7%,14.2%,11.5%,10.9%,24.8%,15.3%
2026-02-11 00:56:00,51.5%,14.5%,20.2%,22.4%,21.6%,21.8%
2026-02-11 01:00:00,40.9%,11.6%,18.1%,14.1%,25.1%,14.1%
2026-02-11 01:04:00,54.1%,30.5%,22.0%,32.3%,32.1%,30.5%
2026-02-11 01:08:00,52.0%,23.6%,20.7%,14.3%,13.1%,10.0%
2026-02-11 01:12:00,35.8%,14.9%,16.4%,19.5%,17.9%,20.5%
2026-02-11 01:16:00,50.9%,27.4%,32.7%,28.3%,25.6%,24.2%
2026-02-11 01:20:00,32.6%,6.75%,25.7%,12.7%,9.60%,10.7%
2026-02-11 01:24:00,116%,20.8%,17.2%,89.8%,94.0%,25.6%
2026-02-11 01:28:00,44.7%,32.4%,17.0%,20.5%,20.3%,21.5%
2026-02-11 01:32:00,50.7%,19.6%,27.7%,28.4%,34.8%,27.1%
2026-02-11 01:36:00,38.9%,15.9%,15.1%,13.9%,19.1%,9.29%
2026-02-11 01:40:00,40.3%,21.9%,18.4%,26.6%,15.7%,17.1%
2026-02-11 01:44:00,113%,37.2%,27.0%,30.0%,18.6%,27.4%
2026-02-11 01:48:00,58.9%,38.4%,15.7%,38.8%,27.1%,54.2%
2026-02-11 01:52:00,46.9%,23.3%,23.0%,22.3%,18.5%,33.9%
2026-02-11 01:56:00,16.1%,13.3%,10.5%,20.5%,9.72%,12.4%
2026-02-11 02:00:00,49.9%,11.2%,12.6%,12.3%,9.89%,16.7%
2026-02-11 02:04:00,41.5%,10.9%,19.5%,11.4%,12.4%,12.6%
2026-02-11 02:08:00,39.6%,25.7%,33.6%,21.2%,21.2%,23.2%
2026-02-11 02:12:00,33.9%,13.7%,11.2%,11.4%,10.7%,9.44%
2026-02-11 02:16:00,41.8%,13.6%,18.1%,12.9%,8.95%,7.71%
2026-02-11 02:20:00,50.4%,33.8%,40.7%,27.7%,31.0%,31.2%
2026-02-11 02:24:00,48.8%,34.2%,20.5%,32.9%,27.0%,27.5%
2026-02-11 02:28:00,48.2%,40.0%,43.1%,33.9%,32.0%,30.3%
2026-02-11 02:32:00,43.8%,35.4%,25.8%,30.1%,33.9%,35.8%
2026-02-11 02:36:00,37.1%,30.7%,25.8%,26.1%,20.7%,24.3%
2026-02-11 02:40:00,54.6%,35.5%,24.1%,23.9%,19.9%,27.1%
2026-02-11 02:44:00,51.9%,29.1%,42.3%,39.0%,30.9%,26.8%
2026-02-11 02:48:00,40.5%,22.0%,25.6%,20.3%,18.6%,19.0%
2026-02-11 02:52:00,36.4%,18.7%,29.8%,24.8%,26.9%,15.9%
2026-02-11 02:56:00,60.1%,30.4%,20.5%,30.8%,18.9%,20.8%
2026-02-11 03:00:00,67.6%,35.2%,16.8%,30.9%,26.5%,20.0%
2026-02-11 03:04:00,59.1%,29.6%,25.2%,48.8%,31.3%,28.1%
2026-02-11 03:08:00,34.5%,15.1%,17.0%,13.6%,19.0%,18.3%
2026-02-11 03:12:00,30.4%,40.5%,15.1%,21.2%,15.2%,10.1%
2026-02-11 03:16:00,35.2%,19.4%,21.0%,19.9%,21.6%,17.4%
2026-02-11 03:20:00,30.8%,13.4%,17.1%,16.3%,11.8%,7.99%
2026-02-11 03:24:00,35.0%,24.3%,20.9%,28.7%,12.8%,24.7%
2026-02-11 03:28:00,59.1%,21.7%,16.5%,17.9%,22.3%,18.2%
