"Time","rskj-miner1:8080 (Copy)","rskj-miner2:8080 (Copy)","rskj-miner3:8080 (Copy)","rskj-miner4:8080 (Copy)","rskj-node1:8080 (Copy)","rskj-node2:8080 (Copy)","rskj-miner1:8080 (MarkSweepCompact)","rskj-miner2:8080 (MarkSweepCompact)","rskj-miner3:8080 (MarkSweepCompact)","rskj-miner4:8080 (MarkSweepCompact)","rskj-node1:8080 (MarkSweepCompact)","rskj-node2:8080 (MarkSweepCompact)"
2026-02-10 14:20:00,1.78 ms,2.08 ms,881 µs,1.25 ms,1.31 ms,2.29 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:22:00,1.25 ms,881 µs,983 µs,2.12 ms,1.49 ms,1.90 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:24:00,2.20 ms,1.44 ms,2.58 ms,1.93 ms,3.63 ms,4.63 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:26:00,3.36 ms,1.85 ms,1.98 ms,1.31 ms,1.14 ms,864 µs,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:28:00,814 µs,763 µs,1.24 ms,1.41 ms,1.02 ms,1.49 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:30:00,1.88 ms,1.07 ms,1.24 ms,1.49 ms,1.42 ms,1.24 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:32:00,1.69 ms,814 µs,1.20 ms,2.80 ms,3.49 ms,1.42 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:34:00,1.39 ms,1.39 ms,949 µs,3.05 ms,2.29 ms,797 µs,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:36:00,831 µs,1.49 ms,1.10 ms,1.17 ms,0 s,1.02 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:38:00,2.73 ms,2.46 ms,1.66 ms,2.02 ms,2.05 ms,1.69 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:40:00,3.27 ms,5.98 ms,3.81 ms,3.25 ms,1.88 ms,2.46 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:42:00,1.54 ms,3.59 ms,1.53 ms,2.39 ms,1.00 ms,3.76 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:44:00,1.66 ms,1.81 ms,2.66 ms,1.56 ms,1.15 ms,2.53 ms,0 s,0 s,0 s,0 s,0 s,0 s
