Time,"__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-03-10 13:18:29,1349739336,464435944,394181864,703537032,538889736,509300240,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:18:59,1456416256,871781584,649555968,427636744,438989280,1151028752,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:19:29,879512576,261268224,267224576,448060744,978511712,485081600,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:19:59,1743074304,936681632,189485056,864660352,478248520,799654400,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:20:29,553204224,522821056,361525248,201781280,530136272,411681280,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:20:59,483622088,560687008,1787322880,229417328,897860344,347718144,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:21:29,1362068480,526952816,2037500928,798273960,943817872,734642688,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:21:59,2070402048,1033209360,994769408,862352168,233993576,387788800,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:22:29,1463923712,524363376,1013653504,386052680,664254704,509033848,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:22:59,1663090176,380662656,2001671680,315650760,506931840,330248208,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:23:29,2006183936,658282760,902496768,562976696,912757576,766455824,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:23:59,555725312,785343704,1694594560,532673720,403009528,1074737168,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:24:29,1736421888,1037268120,1011481088,768727640,657234352,1334784016,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:24:59,546766848,1033013736,1758067200,668429632,985261488,309870168,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:25:29,2112698880,272310944,1582552064,738628760,537731824,714620504,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 13:25:59,641070592,300983416,2016717824,642905688,309821720,1278754392,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
