timestamp,container,cgrp_total_mb,rss_mb,cache_mb,nmt_total_mb,heap_comm_mb,gc_mb,threads_mb,metaspace_mb,nmt_other_mb,db_fds
2026-03-17 17:37:07,rskj-miner1,5454,4820,594,5507,5120,237,8,39,387,42
2026-03-17 17:37:08,rskj-miner2,5394,4812,543,5505,5120,237,8,38,385,42
2026-03-17 17:37:08,rskj-node1,3424,3234,165,3356,3072,159,5,38,284,42
2026-03-17 17:37:09,rskj-node2,3520,3324,166,3361,3072,158,5,38,289,42
2026-03-17 17:37:40,rskj-miner1,5467,4822,606,5507,5120,237,8,39,387,42
2026-03-17 17:37:41,rskj-miner2,5408,4818,550,5505,5120,237,8,38,385,42
2026-03-17 17:37:41,rskj-node1,3425,3235,165,3356,3072,159,5,38,284,42
2026-03-17 17:37:42,rskj-node2,3521,3325,166,3356,3072,158,5,38,284,42
2026-03-17 17:38:13,rskj-miner1,5488,4822,626,5507,5120,237,8,39,387,42
2026-03-17 17:38:14,rskj-miner2,5424,4821,562,5505,5120,237,8,38,385,42
2026-03-17 17:38:15,rskj-node1,3425,3235,166,3356,3072,159,5,38,284,42
2026-03-17 17:38:15,rskj-node2,3521,3325,166,3356,3072,158,5,38,284,42
2026-03-17 17:38:47,rskj-miner1,5513,4823,649,5507,5120,237,8,39,387,42
2026-03-17 17:38:48,rskj-miner2,5443,4826,577,5505,5120,237,8,38,385,42
2026-03-17 17:38:48,rskj-node1,3429,3236,167,3356,3072,159,5,38,284,42
2026-03-17 17:38:49,rskj-node2,3524,3325,168,3356,3072,158,5,38,284,42
2026-03-17 17:39:20,rskj-miner1,5451,4830,582,5507,5120,237,8,39,387,42
2026-03-17 17:39:21,rskj-miner2,5391,4840,512,5505,5120,237,8,38,385,42
2026-03-17 17:39:22,rskj-node1,3430,3237,169,3356,3072,159,5,38,284,42
2026-03-17 17:39:23,rskj-node2,3525,3326,169,3356,3072,158,5,38,284,42
2026-03-17 17:39:54,rskj-miner1,5481,4836,606,5507,5120,237,8,39,387,39
