"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-11 06:07:20,42.5 KiB,1.58 KiB,1.59 KiB,1.63 KiB,1.64 KiB,1.57 KiB,-45.8 KiB,-10.1 KiB,-10.6 KiB,-10.8 KiB,-10.5 KiB,-10.1 KiB
2026-02-11 06:08:00,44.0 KiB,1.79 KiB,1.75 KiB,1.72 KiB,1.77 KiB,1.76 KiB,-47.3 KiB,-10.3 KiB,-10.8 KiB,-11.0 KiB,-10.6 KiB,-10.5 KiB
2026-02-11 06:08:40,42.6 KiB,2.20 KiB,2.48 KiB,2.52 KiB,2.48 KiB,2.50 KiB,-47.0 KiB,-11.1 KiB,-11.2 KiB,-11.1 KiB,-11.1 KiB,-11.0 KiB
2026-02-11 06:09:20,11.2 KiB,1.73 KiB,1.70 KiB,1.75 KiB,1.74 KiB,1.70 KiB,-18.8 KiB,-10.6 KiB,-10.7 KiB,-10.6 KiB,-10.5 KiB,-10.2 KiB
2026-02-11 06:10:00,43.6 KiB,6.33 KiB,6.30 KiB,6.33 KiB,6.25 KiB,6.27 KiB,-49.7 KiB,-14.3 KiB,-14.7 KiB,-14.9 KiB,-14.5 KiB,-14.5 KiB
2026-02-11 06:10:40,42.4 KiB,1.84 KiB,1.81 KiB,1.63 KiB,1.84 KiB,1.83 KiB,-46.5 KiB,-10.9 KiB,-10.6 KiB,-9.81 KiB,-10.5 KiB,-10.5 KiB
2026-02-11 06:11:20,43.2 KiB,3.08 KiB,2.89 KiB,2.95 KiB,3.07 KiB,3.01 KiB,-46.9 KiB,-12.1 KiB,-11.4 KiB,-12.1 KiB,-11.6 KiB,-11.5 KiB
2026-02-11 06:12:00,42.6 KiB,1.52 KiB,1.53 KiB,1.48 KiB,1.50 KiB,1.52 KiB,-46.0 KiB,-10.4 KiB,-10.4 KiB,-10.4 KiB,-10.4 KiB,-10.3 KiB
2026-02-11 06:12:40,43.2 KiB,6.22 KiB,6.20 KiB,6.18 KiB,6.09 KiB,6.13 KiB,-49.8 KiB,-14.4 KiB,-14.3 KiB,-15.0 KiB,-14.3 KiB,-14.0 KiB
2026-02-11 06:13:20,42.9 KiB,2.67 KiB,2.74 KiB,2.63 KiB,2.69 KiB,2.70 KiB,-46.7 KiB,-11.5 KiB,-11.7 KiB,-11.2 KiB,-11.3 KiB,-11.3 KiB
2026-02-11 06:14:00,42.8 KiB,2.63 KiB,2.62 KiB,2.61 KiB,2.63 KiB,2.59 KiB,-47.0 KiB,-11.3 KiB,-11.3 KiB,-11.3 KiB,-11.3 KiB,-11.2 KiB
2026-02-11 06:14:40,38.9 KiB,2.31 KiB,2.32 KiB,2.31 KiB,2.30 KiB,2.30 KiB,-43.0 KiB,-11.0 KiB,-11.0 KiB,-11.5 KiB,-11.0 KiB,-10.7 KiB
2026-02-11 06:15:20,29.6 KiB,1.75 KiB,1.81 KiB,1.81 KiB,1.77 KiB,1.80 KiB,-35.5 KiB,-10.8 KiB,-10.8 KiB,-10.3 KiB,-10.5 KiB,-10.6 KiB
2026-02-11 06:16:00,44.2 KiB,3.47 KiB,3.20 KiB,3.51 KiB,3.44 KiB,3.45 KiB,-49.9 KiB,-12.3 KiB,-11.7 KiB,-11.9 KiB,-11.7 KiB,-11.8 KiB
2026-02-11 06:16:40,43.5 KiB,7.25 KiB,7.41 KiB,7.08 KiB,7.13 KiB,7.06 KiB,-50.2 KiB,-14.5 KiB,-15.7 KiB,-15.8 KiB,-15.2 KiB,-15.4 KiB
2026-02-11 06:17:20,42.7 KiB,1.78 KiB,1.86 KiB,1.83 KiB,1.77 KiB,1.86 KiB,-45.8 KiB,-10.6 KiB,-11.3 KiB,-10.3 KiB,-10.5 KiB,-10.5 KiB
2026-02-11 06:18:00,42.6 KiB,1.64 KiB,1.62 KiB,1.64 KiB,1.63 KiB,1.64 KiB,-45.7 KiB,-10.2 KiB,-10.7 KiB,-10.5 KiB,-10.5 KiB,-10.5 KiB
2026-02-11 06:18:40,42.6 KiB,2.46 KiB,2.39 KiB,2.41 KiB,2.42 KiB,2.43 KiB,-46.9 KiB,-11.4 KiB,-11.3 KiB,-10.8 KiB,-11.1 KiB,-11.1 KiB
2026-02-11 06:19:20,43.7 KiB,6.91 KiB,6.86 KiB,7.21 KiB,6.92 KiB,6.79 KiB,-50.4 KiB,-15.0 KiB,-14.8 KiB,-15.6 KiB,-14.9 KiB,-15.0 KiB
2026-02-11 06:20:00,35.4 KiB,1.57 KiB,1.52 KiB,1.56 KiB,1.54 KiB,1.54 KiB,-39.7 KiB,-10.4 KiB,-10.6 KiB,-10.4 KiB,-10.4 KiB,-10.3 KiB
2026-02-11 06:20:40,1.70 KiB,1.39 KiB,1.37 KiB,1.42 KiB,1.37 KiB,1.38 KiB,-10.9 KiB,-10.2 KiB,-9.91 KiB,-10.6 KiB,-10.2 KiB,-10.2 KiB
2026-02-11 06:21:20,1.85 KiB,1.63 KiB,1.68 KiB,1.50 KiB,1.62 KiB,1.64 KiB,-10.9 KiB,-10.5 KiB,-10.5 KiB,-10.5 KiB,-10.4 KiB,-10.7 KiB
2026-02-11 06:22:00,40.7 KiB,1.97 KiB,1.92 KiB,1.94 KiB,1.90 KiB,1.91 KiB,-44.7 KiB,-10.8 KiB,-10.7 KiB,-10.7 KiB,-10.7 KiB,-10.6 KiB
2026-02-11 06:22:40,42.6 KiB,3.31 KiB,3.22 KiB,3.27 KiB,3.27 KiB,3.26 KiB,-47.2 KiB,-11.9 KiB,-12.0 KiB,-11.9 KiB,-11.8 KiB,-11.8 KiB
2026-02-11 06:23:20,43.6 KiB,5.90 KiB,5.86 KiB,5.38 KiB,5.85 KiB,5.86 KiB,-49.6 KiB,-14.9 KiB,-13.9 KiB,-13.7 KiB,-13.6 KiB,-13.6 KiB
2026-02-11 06:24:00,42.6 KiB,1.59 KiB,1.61 KiB,1.58 KiB,1.56 KiB,1.71 KiB,-45.7 KiB,-10.6 KiB,-10.5 KiB,-10.2 KiB,-10.4 KiB,-10.7 KiB
2026-02-11 06:24:40,40.8 KiB,1.36 KiB,1.34 KiB,1.31 KiB,1.33 KiB,1.33 KiB,-44.0 KiB,-10.2 KiB,-10.2 KiB,-10.7 KiB,-10.1 KiB,-10.1 KiB
2026-02-11 06:25:20,43.2 KiB,3.02 KiB,2.95 KiB,2.87 KiB,2.91 KiB,3.07 KiB,-47.7 KiB,-11.7 KiB,-11.5 KiB,-11.3 KiB,-11.4 KiB,-11.5 KiB
2026-02-11 06:26:00,43.4 KiB,5.30 KiB,5.41 KiB,5.23 KiB,4.61 KiB,5.19 KiB,-49.4 KiB,-13.6 KiB,-14.4 KiB,-13.6 KiB,-12.6 KiB,-13.4 KiB
2026-02-11 06:26:40,42.6 KiB,2.95 KiB,2.98 KiB,2.95 KiB,3.66 KiB,2.91 KiB,-47.2 KiB,-11.3 KiB,-11.5 KiB,-11.5 KiB,-12.4 KiB,-11.6 KiB
2026-02-11 06:27:20,1.82 KiB,1.57 KiB,1.52 KiB,1.59 KiB,1.51 KiB,1.50 KiB,-10.6 KiB,-10.4 KiB,-10.4 KiB,-10.8 KiB,-10.4 KiB,-10.6 KiB
2026-02-11 06:28:00,42.7 KiB,1.83 KiB,1.73 KiB,1.76 KiB,1.74 KiB,1.70 KiB,-46.1 KiB,-10.9 KiB,-10.5 KiB,-10.8 KiB,-10.5 KiB,-10.1 KiB
2026-02-11 06:28:40,43.3 KiB,5.40 KiB,5.55 KiB,5.47 KiB,5.52 KiB,5.52 KiB,-49.2 KiB,-14.2 KiB,-13.8 KiB,-13.4 KiB,-13.7 KiB,-14.0 KiB
2026-02-11 06:29:20,43.3 KiB,4.73 KiB,4.80 KiB,5.15 KiB,4.73 KiB,4.76 KiB,-48.3 KiB,-13.0 KiB,-13.3 KiB,-13.8 KiB,-12.9 KiB,-13.2 KiB
2026-02-11 06:30:00,42.6 KiB,1.51 KiB,1.52 KiB,1.46 KiB,1.55 KiB,1.52 KiB,-45.5 KiB,-10.6 KiB,-10.4 KiB,-10.4 KiB,-10.6 KiB,-10.6 KiB
2026-02-11 06:30:40,42.6 KiB,1.61 KiB,1.63 KiB,1.75 KiB,1.71 KiB,1.71 KiB,-45.8 KiB,-10.6 KiB,-10.2 KiB,-10.8 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 06:31:20,43.8 KiB,6.93 KiB,6.98 KiB,6.96 KiB,6.86 KiB,6.92 KiB,-50.5 KiB,-15.2 KiB,-15.0 KiB,-15.3 KiB,-15.0 KiB,-14.9 KiB
2026-02-11 06:32:00,42.9 KiB,1.66 KiB,1.70 KiB,1.74 KiB,1.72 KiB,1.72 KiB,-46.1 KiB,-10.3 KiB,-10.7 KiB,-10.8 KiB,-10.5 KiB,-10.4 KiB
2026-02-11 06:32:40,27.4 KiB,1.41 KiB,1.35 KiB,1.35 KiB,1.37 KiB,1.38 KiB,-32.2 KiB,-10.5 KiB,-10.3 KiB,-9.87 KiB,-10.2 KiB,-10.2 KiB
2026-02-11 06:33:20,43.2 KiB,3.73 KiB,3.83 KiB,3.83 KiB,3.76 KiB,3.80 KiB,-47.7 KiB,-12.3 KiB,-12.3 KiB,-12.8 KiB,-12.3 KiB,-12.2 KiB
2026-02-11 06:34:00,42.6 KiB,1.58 KiB,1.63 KiB,1.65 KiB,1.60 KiB,1.63 KiB,-45.8 KiB,-10.7 KiB,-10.5 KiB,-10.5 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 06:34:40,42.2 KiB,1.30 KiB,1.33 KiB,1.34 KiB,1.33 KiB,1.31 KiB,-45.4 KiB,-9.88 KiB,-10.7 KiB,-10.2 KiB,-10.1 KiB,-10.1 KiB
2026-02-11 06:35:20,42.6 KiB,1.64 KiB,1.57 KiB,1.55 KiB,1.56 KiB,1.60 KiB,-46.1 KiB,-10.8 KiB,-10.4 KiB,-10.4 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 06:36:00,44.0 KiB,7.97 KiB,7.79 KiB,7.44 KiB,7.76 KiB,7.74 KiB,-51.3 KiB,-15.7 KiB,-15.8 KiB,-15.7 KiB,-15.7 KiB,-15.7 KiB
2026-02-11 06:36:40,42.6 KiB,3.03 KiB,3.03 KiB,3.25 KiB,3.00 KiB,3.01 KiB,-47.1 KiB,-11.4 KiB,-11.7 KiB,-12.1 KiB,-11.6 KiB,-11.6 KiB
2026-02-11 06:37:20,42.5 KiB,1.64 KiB,1.64 KiB,1.63 KiB,1.62 KiB,1.64 KiB,-46.0 KiB,-10.5 KiB,-10.5 KiB,-10.8 KiB,-10.5 KiB,-10.4 KiB
2026-02-11 06:38:00,7.72 KiB,1.90 KiB,1.83 KiB,1.90 KiB,1.87 KiB,1.82 KiB,-15.1 KiB,-11.0 KiB,-11.0 KiB,-10.7 KiB,-10.6 KiB,-10.6 KiB
2026-02-11 06:38:40,28.0 KiB,1.33 KiB,1.35 KiB,1.33 KiB,1.34 KiB,1.35 KiB,-33.3 KiB,-10.4 KiB,-10.2 KiB,-10.2 KiB,-10.2 KiB,-10.1 KiB
2026-02-11 06:39:20,44.1 KiB,8.52 KiB,8.56 KiB,8.52 KiB,8.52 KiB,8.58 KiB,-51.8 KiB,-16.4 KiB,-16.5 KiB,-16.6 KiB,-16.3 KiB,-16.4 KiB
2026-02-11 06:40:00,42.7 KiB,1.90 KiB,2.02 KiB,1.90 KiB,1.85 KiB,1.90 KiB,-46.2 KiB,-10.4 KiB,-11.3 KiB,-10.7 KiB,-10.6 KiB,-10.6 KiB
2026-02-11 06:40:40,42.0 KiB,2.41 KiB,2.37 KiB,2.31 KiB,2.42 KiB,2.41 KiB,-46.5 KiB,-11.9 KiB,-11.2 KiB,-10.7 KiB,-11.0 KiB,-11.0 KiB
2026-02-11 06:41:20,43.2 KiB,2.64 KiB,2.59 KiB,2.49 KiB,2.65 KiB,2.59 KiB,-47.5 KiB,-11.3 KiB,-11.6 KiB,-11.4 KiB,-11.3 KiB,-11.2 KiB
2026-02-11 06:42:00,43.0 KiB,3.62 KiB,3.69 KiB,3.67 KiB,3.63 KiB,3.65 KiB,-47.5 KiB,-12.4 KiB,-12.2 KiB,-12.2 KiB,-12.2 KiB,-12.2 KiB
2026-02-11 06:42:40,42.4 KiB,1.45 KiB,1.45 KiB,1.52 KiB,1.46 KiB,1.45 KiB,-45.5 KiB,-10.5 KiB,-10.1 KiB,-10.6 KiB,-10.3 KiB,-10.2 KiB
2026-02-11 06:43:20,35.7 KiB,1.83 KiB,1.74 KiB,1.80 KiB,1.90 KiB,1.86 KiB,-40.4 KiB,-10.8 KiB,-10.9 KiB,-10.6 KiB,-10.6 KiB,-10.6 KiB
2026-02-11 06:44:00,39.9 KiB,5.78 KiB,5.83 KiB,5.34 KiB,5.78 KiB,5.77 KiB,-47.2 KiB,-14.5 KiB,-14.2 KiB,-13.7 KiB,-13.9 KiB,-13.9 KiB
2026-02-11 06:44:40,42.3 KiB,2.22 KiB,2.20 KiB,2.66 KiB,2.20 KiB,2.21 KiB,-45.9 KiB,-11.0 KiB,-11.0 KiB,-11.3 KiB,-11.0 KiB,-11.0 KiB
2026-02-11 06:45:20,43.4 KiB,4.09 KiB,4.00 KiB,4.00 KiB,4.01 KiB,3.97 KiB,-47.9 KiB,-13.0 KiB,-12.6 KiB,-12.8 KiB,-12.4 KiB,-12.4 KiB
2026-02-11 06:46:00,42.6 KiB,1.58 KiB,1.68 KiB,1.65 KiB,1.66 KiB,1.71 KiB,-45.8 KiB,-10.8 KiB,-10.5 KiB,-10.2 KiB,-10.4 KiB,-10.7 KiB
2026-02-11 06:46:40,42.2 KiB,1.19 KiB,1.24 KiB,1.24 KiB,1.22 KiB,1.23 KiB,-45.5 KiB,-9.80 KiB,-10.1 KiB,-10.4 KiB,-10.1 KiB,-10.1 KiB
2026-02-11 06:47:20,43.7 KiB,6.47 KiB,6.51 KiB,5.79 KiB,6.40 KiB,6.43 KiB,-50.2 KiB,-15.0 KiB,-14.9 KiB,-13.8 KiB,-14.5 KiB,-14.5 KiB
2026-02-11 06:48:00,42.6 KiB,1.65 KiB,1.61 KiB,1.63 KiB,1.65 KiB,1.60 KiB,-45.8 KiB,-10.5 KiB,-10.6 KiB,-10.2 KiB,-10.5 KiB,-10.4 KiB
2026-02-11 06:48:40,42.6 KiB,2.57 KiB,2.56 KiB,2.61 KiB,2.57 KiB,2.54 KiB,-46.8 KiB,-11.4 KiB,-11.3 KiB,-11.5 KiB,-11.1 KiB,-10.8 KiB
2026-02-11 06:49:20,30.3 KiB,1.69 KiB,1.74 KiB,1.77 KiB,1.78 KiB,1.72 KiB,-36.3 KiB,-10.7 KiB,-10.5 KiB,-10.5 KiB,-10.9 KiB,-10.5 KiB
2026-02-11 06:50:00,42.5 KiB,1.73 KiB,1.75 KiB,1.75 KiB,1.71 KiB,1.74 KiB,-45.8 KiB,-10.6 KiB,-10.6 KiB,-10.6 KiB,-10.6 KiB,-10.6 KiB
2026-02-11 06:50:40,43.4 KiB,7.11 KiB,7.10 KiB,7.12 KiB,7.07 KiB,7.05 KiB,-50.8 KiB,-15.1 KiB,-15.1 KiB,-15.3 KiB,-14.8 KiB,-15.1 KiB
2026-02-11 06:51:20,42.5 KiB,1.58 KiB,1.49 KiB,1.50 KiB,1.49 KiB,1.50 KiB,-45.8 KiB,-10.4 KiB,-10.4 KiB,-10.4 KiB,-10.4 KiB,-10.6 KiB
2026-02-11 06:52:00,42.5 KiB,1.57 KiB,1.57 KiB,1.52 KiB,1.55 KiB,1.57 KiB,-46.0 KiB,-10.4 KiB,-10.4 KiB,-10.1 KiB,-10.4 KiB,-10.7 KiB
2026-02-11 06:52:40,42.3 KiB,1.33 KiB,1.32 KiB,1.39 KiB,1.34 KiB,1.33 KiB,-45.6 KiB,-10.3 KiB,-9.85 KiB,-10.5 KiB,-10.1 KiB,-10.1 KiB
2026-02-11 06:53:20,42.8 KiB,2.52 KiB,2.56 KiB,2.62 KiB,2.54 KiB,2.56 KiB,-46.5 KiB,-11.1 KiB,-11.3 KiB,-11.6 KiB,-11.2 KiB,-11.2 KiB
2026-02-11 06:54:00,34.6 KiB,1.60 KiB,1.61 KiB,1.64 KiB,1.66 KiB,1.65 KiB,-38.4 KiB,-10.6 KiB,-10.9 KiB,-10.2 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 06:54:40,1.77 KiB,1.36 KiB,1.37 KiB,1.39 KiB,1.34 KiB,1.41 KiB,-10.7 KiB,-10.2 KiB,-10.2 KiB,-10.7 KiB,-9.88 KiB,-10.2 KiB
2026-02-11 06:55:20,42.8 KiB,2.73 KiB,2.70 KiB,2.71 KiB,2.73 KiB,2.66 KiB,-46.9 KiB,-11.1 KiB,-11.2 KiB,-11.5 KiB,-11.5 KiB,-11.5 KiB
2026-02-11 06:56:00,43.2 KiB,4.33 KiB,4.36 KiB,4.82 KiB,4.29 KiB,4.23 KiB,-48.6 KiB,-13.0 KiB,-12.4 KiB,-13.2 KiB,-12.8 KiB,-12.8 KiB
2026-02-11 06:56:40,42.7 KiB,1.71 KiB,1.70 KiB,1.79 KiB,1.63 KiB,1.76 KiB,-46.6 KiB,-10.3 KiB,-10.5 KiB,-11.1 KiB,-10.1 KiB,-10.4 KiB
2026-02-11 06:57:20,42.7 KiB,1.64 KiB,1.58 KiB,1.64 KiB,1.61 KiB,1.61 KiB,-45.9 KiB,-10.2 KiB,-10.6 KiB,-10.5 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 06:58:00,42.5 KiB,1.60 KiB,1.65 KiB,1.54 KiB,1.59 KiB,1.61 KiB,-45.7 KiB,-10.9 KiB,-10.5 KiB,-10.1 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 06:58:40,43.8 KiB,8.20 KiB,8.25 KiB,7.61 KiB,8.20 KiB,8.07 KiB,-51.8 KiB,-16.3 KiB,-16.0 KiB,-15.8 KiB,-15.8 KiB,-15.9 KiB
2026-02-11 06:59:20,43.0 KiB,2.65 KiB,2.58 KiB,2.33 KiB,2.63 KiB,2.65 KiB,-46.7 KiB,-11.3 KiB,-11.5 KiB,-11.0 KiB,-11.3 KiB,-11.3 KiB
2026-02-11 07:00:00,19.6 KiB,1.93 KiB,1.77 KiB,1.79 KiB,1.88 KiB,1.77 KiB,-26.8 KiB,-10.7 KiB,-10.6 KiB,-10.6 KiB,-10.6 KiB,-10.5 KiB
2026-02-11 07:00:40,42.4 KiB,1.64 KiB,1.57 KiB,1.69 KiB,1.65 KiB,1.57 KiB,-45.6 KiB,-10.4 KiB,-10.7 KiB,-10.6 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 07:01:20,43.5 KiB,5.82 KiB,5.83 KiB,5.82 KiB,5.78 KiB,5.79 KiB,-49.5 KiB,-14.4 KiB,-14.2 KiB,-13.7 KiB,-14.0 KiB,-14.0 KiB
2026-02-11 07:02:00,42.7 KiB,1.80 KiB,1.76 KiB,1.94 KiB,1.82 KiB,1.79 KiB,-45.8 KiB,-10.3 KiB,-10.8 KiB,-11.0 KiB,-10.6 KiB,-10.6 KiB
2026-02-11 07:02:40,42.5 KiB,2.15 KiB,2.30 KiB,2.37 KiB,2.33 KiB,2.32 KiB,-46.4 KiB,-10.8 KiB,-11.4 KiB,-11.1 KiB,-10.9 KiB,-10.9 KiB
2026-02-11 07:03:20,43.4 KiB,5.64 KiB,5.68 KiB,5.72 KiB,5.65 KiB,5.60 KiB,-49.4 KiB,-14.1 KiB,-14.0 KiB,-14.0 KiB,-13.9 KiB,-13.9 KiB
2026-02-11 07:04:00,43.3 KiB,4.79 KiB,4.82 KiB,4.80 KiB,4.81 KiB,4.73 KiB,-49.1 KiB,-13.2 KiB,-13.1 KiB,-13.6 KiB,-13.1 KiB,-12.8 KiB
2026-02-11 07:04:40,43.1 KiB,3.48 KiB,3.59 KiB,3.51 KiB,3.58 KiB,3.65 KiB,-47.8 KiB,-12.3 KiB,-12.3 KiB,-11.7 KiB,-12.0 KiB,-12.3 KiB
2026-02-11 07:05:20,21.1 KiB,4.08 KiB,4.09 KiB,4.04 KiB,4.10 KiB,4.05 KiB,-28.3 KiB,-12.6 KiB,-12.6 KiB,-12.8 KiB,-12.9 KiB,-12.5 KiB
2026-02-11 07:06:00,42.5 KiB,1.55 KiB,1.63 KiB,1.60 KiB,1.61 KiB,1.59 KiB,-45.7 KiB,-10.3 KiB,-10.5 KiB,-10.5 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 07:06:40,41.8 KiB,3.55 KiB,3.23 KiB,3.44 KiB,3.44 KiB,3.46 KiB,-47.5 KiB,-12.2 KiB,-11.7 KiB,-12.1 KiB,-11.8 KiB,-11.8 KiB
2026-02-11 07:07:20,42.8 KiB,1.77 KiB,1.73 KiB,1.67 KiB,1.75 KiB,1.71 KiB,-46.4 KiB,-10.6 KiB,-10.7 KiB,-10.4 KiB,-10.5 KiB,-10.5 KiB
2026-02-11 07:08:00,43.1 KiB,3.61 KiB,3.63 KiB,3.71 KiB,3.60 KiB,3.58 KiB,-48.4 KiB,-11.9 KiB,-12.2 KiB,-12.7 KiB,-12.2 KiB,-12.1 KiB
2026-02-11 07:08:40,42.2 KiB,1.38 KiB,1.37 KiB,1.29 KiB,1.32 KiB,1.37 KiB,-44.9 KiB,-10.5 KiB,-10.2 KiB,-10.0 KiB,-10.2 KiB,-10.1 KiB
2026-02-11 07:09:20,42.6 KiB,1.65 KiB,1.60 KiB,1.64 KiB,1.61 KiB,1.63 KiB,-45.9 KiB,-10.8 KiB,-10.6 KiB,-10.5 KiB,-10.4 KiB,-10.4 KiB
2026-02-11 07:10:00,43.3 KiB,5.66 KiB,5.68 KiB,5.65 KiB,5.65 KiB,5.64 KiB,-49.0 KiB,-14.1 KiB,-14.4 KiB,-13.9 KiB,-13.9 KiB,-13.5 KiB
2026-02-11 07:10:40,33.2 KiB,6.44 KiB,6.55 KiB,6.63 KiB,6.54 KiB,6.47 KiB,-41.3 KiB,-15.4 KiB,-14.8 KiB,-14.7 KiB,-14.5 KiB,-14.6 KiB
2026-02-11 07:11:20,40.3 KiB,6.03 KiB,5.99 KiB,5.93 KiB,5.94 KiB,6.03 KiB,-47.1 KiB,-14.4 KiB,-14.6 KiB,-14.0 KiB,-14.1 KiB,-14.1 KiB
2026-02-11 07:12:00,42.6 KiB,1.59 KiB,1.56 KiB,1.42 KiB,1.55 KiB,1.54 KiB,-45.9 KiB,-10.4 KiB,-10.6 KiB,-10.0 KiB,-10.4 KiB,-10.6 KiB
2026-02-11 07:12:40,43.0 KiB,5.37 KiB,5.33 KiB,5.43 KiB,5.26 KiB,5.30 KiB,-49.0 KiB,-13.6 KiB,-13.8 KiB,-14.0 KiB,-13.6 KiB,-13.5 KiB
2026-02-11 07:13:20,42.9 KiB,2.50 KiB,2.33 KiB,2.39 KiB,2.39 KiB,2.37 KiB,-46.6 KiB,-11.7 KiB,-11.3 KiB,-11.1 KiB,-11.0 KiB,-11.0 KiB
