"Time","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node2"
2026-02-11 07:23:00,3.74 GiB,3.77 GiB,3.92 GiB,3.75 GiB,3.79 GiB,3.74 GiB
2026-02-11 07:24:00,3.74 GiB,3.78 GiB,3.93 GiB,3.75 GiB,3.79 GiB,3.74 GiB
2026-02-11 07:25:00,3.74 GiB,3.79 GiB,3.93 GiB,3.75 GiB,3.79 GiB,3.74 GiB
2026-02-11 07:26:00,3.74 GiB,3.79 GiB,3.93 GiB,3.75 GiB,3.79 GiB,3.74 GiB
2026-02-11 07:27:00,3.74 GiB,3.80 GiB,3.93 GiB,3.75 GiB,3.79 GiB,3.74 GiB
2026-02-11 07:28:00,3.74 GiB,3.81 GiB,3.93 GiB,3.75 GiB,3.79 GiB,3.74 GiB
2026-02-11 07:29:00,3.74 GiB,3.82 GiB,3.93 GiB,3.75 GiB,3.79 GiB,3.74 GiB
2026-02-11 07:30:00,3.76 GiB,3.87 GiB,3.93 GiB,3.81 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:31:00,3.76 GiB,3.88 GiB,3.93 GiB,3.81 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:32:00,3.76 GiB,3.79 GiB,3.93 GiB,3.81 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:33:00,3.76 GiB,3.79 GiB,3.93 GiB,3.81 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:34:00,3.76 GiB,3.80 GiB,3.93 GiB,3.81 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:35:00,3.76 GiB,3.80 GiB,3.93 GiB,3.81 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:36:00,3.76 GiB,3.81 GiB,3.93 GiB,3.81 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:37:00,3.76 GiB,3.82 GiB,3.93 GiB,3.81 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:38:00,3.76 GiB,3.83 GiB,3.93 GiB,3.81 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:39:00,3.76 GiB,3.83 GiB,3.93 GiB,3.81 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:40:00,3.76 GiB,3.84 GiB,3.93 GiB,3.81 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:41:00,3.76 GiB,3.85 GiB,3.94 GiB,3.81 GiB,3.86 GiB,3.78 GiB
