"Time","rskj-miner1:8080 (Copy)","rskj-miner2:8080 (Copy)","rskj-miner4:8080 (Copy)","rskj-node1:8080 (Copy)","rskj-miner1:8080 (MarkSweepCompact)","rskj-miner2:8080 (MarkSweepCompact)","rskj-miner4:8080 (MarkSweepCompact)","rskj-node1:8080 (MarkSweepCompact)"
2026-02-09 19:36:00,4.03 ms,559 µs,1.59 ms,1.34 ms,0 s,0 s,0 s,0 s
2026-02-09 19:38:00,458 µs,712 µs,1.08 ms,881 µs,0 s,0 s,0 s,0 s
2026-02-09 19:40:00,1.47 ms,1.03 ms,1.24 ms,1.39 ms,0 s,0 s,0 s,0 s
2026-02-09 19:42:00,915 µs,949 µs,949 µs,898 µs,0 s,0 s,0 s,0 s
2026-02-09 19:44:00,932 µs,1.05 ms,1.42 ms,831 µs,0 s,0 s,0 s,0 s
2026-02-09 19:46:00,1.53 ms,814 µs,0 s,1.31 ms,0 s,0 s,0 s,0 s
2026-02-09 19:48:00,1.32 ms,2.00 ms,2.24 ms,1.07 ms,0 s,0 s,0 s,0 s
2026-02-09 19:50:00,729 µs,966 µs,508 µs,1.25 ms,0 s,0 s,0 s,0 s
2026-02-09 19:52:00,1.58 ms,949 µs,932 µs,746 µs,0 s,0 s,0 s,0 s
2026-02-09 19:54:00,2.00 ms,915 µs,1.10 ms,508 µs,0 s,0 s,0 s,0 s
2026-02-09 19:56:00,949 µs,1.71 ms,712 µs,661 µs,0 s,0 s,0 s,0 s
2026-02-09 19:58:00,1.86 ms,930 µs,722 µs,710 µs,0 s,0 s,0 s,0 s
2026-02-09 20:00:00,1.69 ms,1.81 ms,1.03 ms,1.02 ms,0 s,0 s,0 s,0 s
2026-02-09 20:02:00,6.95 ms,1.25 ms,3.12 ms,2.02 ms,0 s,0 s,0 s,0 s
2026-02-09 20:04:00,1.10 ms,2.00 ms,1.90 ms,2.19 ms,0 s,0 s,0 s,0 s
2026-02-09 20:06:00,1.83 ms,1.92 ms,1.02 ms,1.22 ms,0 s,0 s,0 s,0 s
2026-02-09 20:08:00,1.49 ms,1.71 ms,2.25 ms,1.41 ms,0 s,0 s,0 s,0 s
2026-02-09 20:10:00,1.98 ms,2.56 ms,1.15 ms,2.44 ms,0 s,0 s,0 s,0 s
2026-02-09 20:12:00,1.49 ms,1.31 ms,4.95 ms,5.86 ms,0 s,0 s,0 s,0 s
2026-02-09 20:14:00,254 µs,1.03 ms,1.32 ms,1.46 ms,0 s,0 s,0 s,0 s
2026-02-09 20:16:00,1.03 ms,948 µs,491 µs,1.37 ms,0 s,0 s,0 s,0 s
2026-02-09 20:18:00,1.49 ms,6.03 ms,1.83 ms,593 µs,0 s,0 s,0 s,0 s
2026-02-09 20:20:00,373 µs,2.41 ms,932 µs,814 µs,0 s,0 s,0 s,0 s
2026-02-09 20:22:00,1.61 ms,9.51 ms,475 µs,780 µs,0 s,0 s,0 s,0 s
2026-02-09 20:24:00,1.64 ms,237 µs,373 µs,1.15 ms,0 s,0 s,0 s,0 s
2026-02-09 20:26:00,1.58 ms,373 µs,1.22 ms,1.24 ms,0 s,0 s,0 s,0 s
2026-02-09 20:28:00,3.81 ms,1.22 ms,4.39 ms,1.31 ms,0 s,0 s,0 s,0 s
2026-02-09 20:30:00,1.37 ms,610 µs,2.61 ms,1.03 ms,0 s,0 s,0 s,0 s
2026-02-09 20:32:00,1.02 ms,1000 µs,1.10 ms,1.47 ms,0 s,0 s,0 s,0 s
2026-02-09 20:34:00,746 µs,1.07 ms,1000 µs,2.25 ms,0 s,0 s,0 s,0 s
2026-02-09 20:36:00,1.27 ms,288 µs,1.32 ms,1.39 ms,0 s,0 s,0 s,0 s
2026-02-09 20:38:00,1.41 ms,949 µs,932 µs,2.10 ms,0 s,0 s,0 s,0 s
2026-02-09 20:40:00,1.56 ms,847 µs,1.12 ms,1000 µs,0 s,0 s,0 s,0 s
2026-02-09 20:42:00,1.29 ms,1.19 ms,424 µs,542 µs,0 s,0 s,0 s,0 s
2026-02-09 20:44:00,1.66 ms,1.22 ms,1.24 ms,1.44 ms,0 s,0 s,0 s,0 s
2026-02-09 20:46:00,1.76 ms,593 µs,983 µs,983 µs,0 s,0 s,0 s,0 s
2026-02-09 20:48:00,1.58 ms,627 µs,746 µs,695 µs,0 s,0 s,0 s,0 s
2026-02-09 20:50:00,1.51 ms,1.49 ms,542 µs,661 µs,0 s,0 s,0 s,0 s
2026-02-09 20:52:00,1.69 ms,1.34 ms,1.59 ms,1.42 ms,0 s,0 s,0 s,0 s
2026-02-09 20:54:00,1.97 ms,1.34 ms,3.54 ms,1.53 ms,0 s,0 s,0 s,0 s
