"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-09 20:06:00,38.0 KiB,3.13 KiB,3.10 KiB,3.12 KiB,-42.2 KiB,-11.0 KiB,-11.0 KiB,-10.9 KiB
2026-02-09 20:08:00,33.6 KiB,3.10 KiB,3.09 KiB,3.10 KiB,-38.4 KiB,-11.0 KiB,-11.0 KiB,-10.9 KiB
2026-02-09 20:10:00,33.6 KiB,3.32 KiB,3.30 KiB,3.31 KiB,-38.6 KiB,-11.1 KiB,-11.2 KiB,-11.0 KiB
2026-02-09 20:12:00,41.2 KiB,3.76 KiB,3.78 KiB,3.79 KiB,-45.8 KiB,-12.0 KiB,-12.0 KiB,-11.8 KiB
2026-02-09 20:14:00,25.2 KiB,2.70 KiB,2.72 KiB,2.73 KiB,-30.8 KiB,-10.7 KiB,-10.7 KiB,-10.5 KiB
2026-02-09 20:16:00,21.9 KiB,3.02 KiB,3.05 KiB,3.07 KiB,-28.4 KiB,-11.0 KiB,-11.0 KiB,-10.8 KiB
2026-02-09 20:18:00,30.0 KiB,3.01 KiB,3.02 KiB,3.05 KiB,-35.3 KiB,-11.0 KiB,-11.0 KiB,-10.8 KiB
2026-02-09 20:20:00,34.9 KiB,2.18 KiB,2.19 KiB,2.20 KiB,-38.9 KiB,-10.3 KiB,-10.2 KiB,-10.1 KiB
2026-02-09 20:22:00,31.4 KiB,2.58 KiB,2.68 KiB,2.69 KiB,-36.4 KiB,-10.5 KiB,-10.7 KiB,-10.5 KiB
2026-02-09 20:24:00,31.4 KiB,2.19 KiB,2.18 KiB,2.17 KiB,-35.9 KiB,-10.2 KiB,-10.3 KiB,-10.1 KiB
2026-02-09 20:26:00,35.3 KiB,3.02 KiB,3.00 KiB,2.98 KiB,-39.9 KiB,-10.9 KiB,-11.0 KiB,-10.8 KiB
2026-02-09 20:28:00,21.1 KiB,3.01 KiB,3.00 KiB,2.99 KiB,-27.8 KiB,-10.9 KiB,-11.0 KiB,-10.7 KiB
2026-02-09 20:30:00,20.9 KiB,2.28 KiB,2.26 KiB,2.27 KiB,-27.1 KiB,-10.3 KiB,-10.3 KiB,-10.2 KiB
2026-02-09 20:32:00,35.1 KiB,2.88 KiB,2.87 KiB,2.88 KiB,-39.7 KiB,-10.8 KiB,-10.8 KiB,-10.7 KiB
2026-02-09 20:34:00,32.1 KiB,2.21 KiB,2.20 KiB,2.20 KiB,-36.5 KiB,-10.2 KiB,-10.2 KiB,-10.2 KiB
