"Time","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner2","rskj-miner4","rskj-miner4","rskj-miner1","rskj-node1"
2026-02-10 04:00:00,2.67 GiB,,2.87 GiB,,2.76 GiB,,2.97 GiB,
2026-02-10 04:04:00,2.68 GiB,,2.88 GiB,,2.76 GiB,,2.91 GiB,
2026-02-10 04:08:00,2.68 GiB,,2.88 GiB,,2.77 GiB,,2.94 GiB,
2026-02-10 04:12:00,2.69 GiB,,2.89 GiB,,2.78 GiB,,2.97 GiB,
2026-02-10 04:16:00,2.70 GiB,,2.90 GiB,,2.79 GiB,,3.01 GiB,
2026-02-10 04:20:00,2.70 GiB,,3.08 GiB,,2.80 GiB,,2.95 GiB,
2026-02-10 04:24:00,2.75 GiB,,3.09 GiB,,2.84 GiB,,3.01 GiB,
2026-02-10 04:28:00,2.76 GiB,,3.13 GiB,,2.84 GiB,,3.05 GiB,
2026-02-10 04:32:00,2.76 GiB,,3.13 GiB,,2.85 GiB,,2.98 GiB,
2026-02-10 04:36:00,2.77 GiB,,3.14 GiB,,2.87 GiB,,3.02 GiB,
2026-02-10 04:40:00,2.78 GiB,,3.15 GiB,,2.88 GiB,,3.06 GiB,
2026-02-10 04:44:00,2.81 GiB,,3.16 GiB,,2.90 GiB,,3.12 GiB,
2026-02-10 04:48:00,2.82 GiB,,3.17 GiB,,2.91 GiB,,3.06 GiB,
2026-02-10 04:52:00,2.82 GiB,,3.18 GiB,,2.92 GiB,,3.09 GiB,
2026-02-10 04:56:00,2.84 GiB,,3.19 GiB,,2.94 GiB,,3.13 GiB,
2026-02-10 05:00:00,2.84 GiB,,3.20 GiB,,2.95 GiB,,3.07 GiB,
2026-02-10 05:04:00,2.87 GiB,,3.21 GiB,,2.97 GiB,,3.11 GiB,
2026-02-10 05:08:00,2.88 GiB,,3.22 GiB,,2.98 GiB,,3.15 GiB,
2026-02-10 05:12:00,2.88 GiB,,3.22 GiB,,2.99 GiB,,3.19 GiB,
2026-02-10 05:16:00,2.90 GiB,,3.23 GiB,,3.01 GiB,,3.12 GiB,
2026-02-10 05:20:00,2.90 GiB,,3.24 GiB,,3.01 GiB,,3.16 GiB,
2026-02-10 05:24:00,2.91 GiB,,3.25 GiB,,3.02 GiB,,3.20 GiB,
2026-02-10 05:28:00,2.94 GiB,,3.25 GiB,,3.05 GiB,,3.16 GiB,
2026-02-10 05:32:00,2.94 GiB,,3.26 GiB,,3.05 GiB,,3.20 GiB,
2026-02-10 05:36:00,2.95 GiB,,3.27 GiB,,3.06 GiB,,3.23 GiB,
2026-02-10 05:40:00,2.96 GiB,,3.28 GiB,,3.08 GiB,,3.27 GiB,
2026-02-10 05:44:00,2.97 GiB,,3.29 GiB,,3.09 GiB,,3.21 GiB,
2026-02-10 05:48:00,2.97 GiB,,3.29 GiB,,3.09 GiB,,3.24 GiB,
2026-02-10 05:52:00,2.96 GiB,,3.41 GiB,,3.08 GiB,,3.30 GiB,
2026-02-10 05:56:00,2.97 GiB,,3.42 GiB,,3.09 GiB,,3.24 GiB,
2026-02-10 06:00:00,2.97 GiB,,3.43 GiB,,3.10 GiB,,3.27 GiB,
