Time,"__name__=""rsk_txpool_pending_transactions"",instance=""rsk-rpc-exporter:9090"",job=""rsk-rpc-exporter"",node=""rskj-miner1"""
2026-03-18 20:37:48,13175
2026-03-18 20:38:18,21653
2026-03-18 20:38:48,16665
2026-03-18 20:39:18,21316
2026-03-18 20:39:48,20598
2026-03-18 20:40:18,21077
2026-03-18 20:40:48,8809
2026-03-18 20:41:18,10517
2026-03-18 20:41:48,16679
2026-03-18 20:42:18,20581
2026-03-18 20:42:48,18024
2026-03-18 20:43:18,13361
2026-03-18 20:43:48,12919
2026-03-18 20:44:18,13638
2026-03-18 20:44:48,9491
2026-03-18 20:45:18,8560
2026-03-18 20:45:48,14374
2026-03-18 20:46:18,21367
2026-03-18 20:46:48,21651
2026-03-18 20:47:18,20583
2026-03-18 20:47:48,16997
2026-03-18 20:48:18,17717
2026-03-18 20:48:48,10244
2026-03-18 20:49:18,12324
2026-03-18 20:49:48,18006
2026-03-18 20:50:18,18741
2026-03-18 20:50:48,18485
2026-03-18 20:51:18,20486
2026-03-18 20:51:48,20498
2026-03-18 20:52:18,17696
2026-03-18 20:52:48,18017
2026-03-18 20:53:18,4689
2026-03-18 20:53:48,12611
2026-03-18 20:54:18,16393
2026-03-18 20:54:48,14729
2026-03-18 20:55:18,14144
2026-03-18 20:55:48,10071
2026-03-18 20:56:18,8231
2026-03-18 20:56:48,17204
2026-03-18 20:57:18,17513
2026-03-18 20:57:48,17521
2026-03-18 20:58:18,18727
2026-03-18 20:58:48,17923
2026-03-18 20:59:18,17794
2026-03-18 20:59:48,13603
2026-03-18 21:00:18,17556
2026-03-18 21:00:48,17748
2026-03-18 21:01:18,21584
2026-03-18 21:01:48,18263
2026-03-18 21:02:18,13585
2026-03-18 21:02:48,10630
2026-03-18 21:03:18,8310
2026-03-18 21:03:48,13833
2026-03-18 21:04:18,18532
2026-03-18 21:04:48,21303
2026-03-18 21:05:18,17968
2026-03-18 21:05:48,8532
2026-03-18 21:06:18,14169
2026-03-18 21:06:48,16774
2026-03-18 21:07:18,14418
2026-03-18 21:07:48,17208
2026-03-18 21:08:18,20869
2026-03-18 21:08:48,21269
2026-03-18 21:09:18,21127
2026-03-18 21:09:48,21107
2026-03-18 21:10:18,21637
2026-03-18 21:10:48,20866
2026-03-18 21:11:18,18769
2026-03-18 21:11:48,17027
2026-03-18 21:12:18,14336
2026-03-18 21:12:48,18439
2026-03-18 21:13:18,12898
2026-03-18 21:13:48,13846
2026-03-18 21:14:18,13089
2026-03-18 21:14:48,17745
2026-03-18 21:15:18,14724
2026-03-18 21:15:48,18073
2026-03-18 21:16:18,18435
2026-03-18 21:16:48,13825
2026-03-18 21:17:18,13636
2026-03-18 21:17:48,17768
2026-03-18 21:18:18,14131
2026-03-18 21:18:48,14217
2026-03-18 21:19:18,14128
2026-03-18 21:19:48,14342
2026-03-18 21:20:18,10596
2026-03-18 21:20:48,13845
2026-03-18 21:21:18,18023
2026-03-18 21:21:48,20833
2026-03-18 21:22:18,17225
2026-03-18 21:22:48,18225
2026-03-18 21:23:18,14337
2026-03-18 21:23:48,12824
2026-03-18 21:24:18,13840
2026-03-18 21:24:48,17176
2026-03-18 21:25:18,18549
2026-03-18 21:25:48,8806
2026-03-18 21:26:18,5184
2026-03-18 21:26:48,16792
2026-03-18 21:27:18,18466
2026-03-18 21:27:48,21586
2026-03-18 21:28:18,18436
2026-03-18 21:28:48,20755
2026-03-18 21:29:18,4465
2026-03-18 21:29:48,12919
2026-03-18 21:30:18,18705
2026-03-18 21:30:48,21097
2026-03-18 21:31:18,21540
2026-03-18 21:31:48,2355
2026-03-18 21:32:18,6177
2026-03-18 21:32:48,13411
2026-03-18 21:33:18,17688
2026-03-18 21:33:48,18440
2026-03-18 21:34:18,20584
2026-03-18 21:34:48,12836
2026-03-18 21:35:18,5893
2026-03-18 21:35:48,9602
2026-03-18 21:36:18,17187
2026-03-18 21:36:48,21760
2026-03-18 21:37:18,12665
2026-03-18 21:37:48,17701
2026-03-18 21:38:18,13174
2026-03-18 21:38:48,17172
2026-03-18 21:39:18,17783
2026-03-18 21:39:48,17557
2026-03-18 21:40:18,13960
2026-03-18 21:40:48,16963
2026-03-18 21:41:18,14082
2026-03-18 21:41:48,14227
2026-03-18 21:42:18,20552
2026-03-18 21:42:48,17505
2026-03-18 21:43:18,17520
2026-03-18 21:43:48,10579
2026-03-18 21:44:18,12657
2026-03-18 21:44:48,9798
2026-03-18 21:45:18,17734
2026-03-18 21:45:48,20568
2026-03-18 21:46:18,20882
2026-03-18 21:46:48,21395
2026-03-18 21:47:18,14728
2026-03-18 21:47:48,17782
2026-03-18 21:48:18,16787
2026-03-18 21:48:48,14484
2026-03-18 21:49:18,16425
2026-03-18 21:49:48,14628
2026-03-18 21:50:18,17953
2026-03-18 21:50:48,20882
2026-03-18 21:51:18,18583
2026-03-18 21:51:48,18481
2026-03-18 21:52:18,20612
2026-03-18 21:52:48,20578
2026-03-18 21:53:18,13640
2026-03-18 21:53:48,18818
2026-03-18 21:54:18,14694
2026-03-18 21:54:48,18532
2026-03-18 21:55:18,13632
2026-03-18 21:55:48,17283
2026-03-18 21:56:18,16969
2026-03-18 21:56:48,14098
2026-03-18 21:57:18,17984
2026-03-18 21:57:48,17252
2026-03-18 21:58:18,8320
2026-03-18 21:58:48,12310
2026-03-18 21:59:18,17480
2026-03-18 21:59:48,17936
2026-03-18 22:00:18,17047
2026-03-18 22:00:48,18563
2026-03-18 22:01:18,17778
2026-03-18 22:01:48,12402
2026-03-18 22:02:18,17528
2026-03-18 22:02:48,21591
2026-03-18 22:03:18,17241
2026-03-18 22:03:48,17031
2026-03-18 22:04:18,5141
2026-03-18 22:04:48,10306
